time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
90600,2022-08-11 15:37:23,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,"Sin tarjeta SD. Inserta una tarjeta (Code: 10022)"
90700,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.1,0,0,364,364,364,1684,-100,-100,-100,100,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,
90800,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,
90900,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,
91000,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,
91100,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0,87.26,3.28084E-5,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 30m (98 ft)"
91200,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,41,Motors_Started,
91300,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,41,Motors_Started,
91400,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,41,Motors_Started,
91500,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.6, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,41,Motors_Started,
91600,2022-08-11 15:37:24,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.5, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,41,Motors_Started,
91700,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.5, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
91800,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.4, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.3,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
91900,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.3, 3.2, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,233.2,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92000,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225.2, 3.2, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,233.2,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92100,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,225, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92200,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.829,3.28084E-5,0,0,0,0,0,0,224.9, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233,0,0,56,3.903,3.897,0,0,0,0,0.651,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92300,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.782,3.28084E-5,0,0,0,0,0,0,224.7, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,232.9,0,0,56,3.901,3.897,0,0,0,0,1.569,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92400,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.782,3.28084E-5,0,0,0,0,0,0,224.7, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,232.6,0,0,56,3.901,3.897,0,0,0,0,1.569,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92500,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.782,3.28084E-5,0,0,0,0,0,0,224.6, 3.2, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,232.5,0,0,56,3.901,3.897,0,0,0,0,1.569,87.26,3.28084E-5,0,10,Assisted_Takeoff,
92600,2022-08-11 15:37:25,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.782,3.28084E-5,0,0,0,0,0,0,224.4, 3.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,232.4,0,0,56,3.901,3.897,0,0,0,0,1.569,87.26,3.28084E-5,0,10,Assisted_Takeoff,
