time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
981200,2022-08-24 01:07:09,-34.9065300161313,-56.1631164377698,0,0,120.26291362532,119.08181122532,0,0,0,0,17,5,0,119.08181122532,0,0,0,0,0.223694,0,282, -6.4, -11,0,0,364,364,364,1684,-100,-100,-100,100,297.5,0,0,40,3.809,3.804,0,0,0,0,0,95.54,119.08181122532,0,41,Motors_Started,"En vuelo Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001)"
981300,2022-08-24 01:07:09,-34.9065300502961,-56.1631164118993,0,0,120.26291362532,119.08181122532,0.328084,0.223694,0.014672900732,0.014672900732,17,5,7.612,119.08181122532,0,0.223694,0.014672900732,0,0.223694,0,281.9, -6.4, -10.9,0,0,364,364,364,1684,-100,-100,-100,100,297.4,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981400,2022-08-24 01:07:09,-34.9065300486774,-56.1631164570303,0,0,120.26291362532,119.08181122532,0.328084,0.223694,0.013198983362,0.0281893709808,17,5,7.612,119.08181122532,0,0.223694,0.014672900732,0,0.223694,0,281.4, -6.6, -10.2,0,0,364,364,364,1684,-100,-100,-100,100,297.1,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981500,2022-08-24 01:07:09,-34.9065300147846,-56.1631163766819,0,0,120.26291362532,119.08181122532,0.328084,0,0.0182845806376,0.055224083132,17,5,7.612,119.08181122532,0,0.223694,0.0182845806376,0,0,0,281.2, -6.6, -9.3,0,0,364,364,364,1684,-100,-100,-100,100,296.8,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981600,2022-08-24 01:07:10,-34.9065299697125,-56.1631163895075,0,0,120.26291362532,119.08181122532,0.328084,0,0.0222564967752,0.072110566612,17,5,7.612,119.08181122532,0,0.223694,0.0222564967752,0,0,0,280.9, -6.7, -8.4,0,0,364,364,364,1684,-100,-100,-100,100,296.6,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981700,2022-08-24 01:07:10,-34.9065299282914,-56.1631164044171,0,0,120.26291362532,119.08181122532,0.328084,0,0.03356627404,0.08786745688,17,5,7.612,119.08181122532,0,0.223694,0.03356627404,0,0,0,280.8, -7.1, -7.6,0,0,364,364,364,1684,-100,-100,-100,100,296.5,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981800,2022-08-24 01:07:10,-34.9065298753312,-56.1631164562625,0,0,120.26291362532,119.08181122532,0.328084,0,0.051667980656,0.112646657148,17,5,7.612,119.08181122532,0,0.223694,0.051667980656,0,0,0,279.8, -7, -6.5,0,0,364,364,364,1684,-100,-100,-100,100,296,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
981900,2022-08-24 01:07:10,-34.9065298165623,-56.1631165154335,0,0.032808399999993,120.23010522532,119.08181122532,0.328084,0,0.076430776724,0.140453088484,17,5,7.612,119.08181122532,0,0.223694,0.076430776724,0,0,0,279.5, -7, -5.8,0,0,364,364,364,1684,-100,-100,-100,100,295.5,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
982000,2022-08-24 01:07:10,-34.9065295603722,-56.1631168309432,0,0.032808399999993,120.23010522532,119.08181122532,0.328084,0,0.203689639064,0.273301517932,17,5,7.612,119.08181122532,0,0.223694,0.203689639064,0,0,0,279.1, -6.5, -5.8,0,0,364,364,364,1684,-100,-100,-100,100,295.2,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 6. Setting new Maximum Flight Altitude to 120m (394 ft)"
982100,2022-08-24 01:07:10,-34.9065294248173,-56.1631170385443,0,0,120.26291362532,119.08181122532,0.328084,0,12.9803481844,0.35270342336,17,5,7.612,119.08181122532,0,0.223694,12.9803481844,0,0,0,278.9, -6.3, -5.7,0,0,364,364,364,1684,-100,-100,-100,100,294.9,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
982200,2022-08-24 01:07:10,-34.906529331229,-56.163117314316,0,0,120.26291362532,119.08181122532,0.328084,0,12.895997788,0.44200132648,17,5,7.612,119.08181122532,0,0.223694,12.9803481844,0,0,0,278.8, -6.1, -5.7,0,0,1024,1117,675,1024,0,14,-53,0,294.8,0,0,40,3.809,3.804,0,0,0,0,0.622,95.54,119.08181122532,0,41,Motors_Started,
982300,2022-08-24 01:07:10,-34.9065292379549,-56.163117610923,0,0.032808399999993,120.23010522532,119.08181122532,0.328084,0,12.8054794124,0.53705054212,17,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,278.7, -6.1, -5.5,0,0,1024,1024,1024,1024,0,0,0,0,294.7,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,119.08181122532,0,10,Assisted_Takeoff,
982400,2022-08-24 01:07:10,-34.9065291392159,-56.1631184906032,-0.328084,-0.29527560000001,120.23010522532,118.75372722532,0.328084,0,12.5407156244,0.80270999944,17,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,278.5, -6, -5.4,0,0,1024,1024,1024,1024,0,0,0,0,294.6,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
982500,2022-08-24 01:07:10,-34.9065290626415,-56.1631187440875,-0.328084,-0.26246719999999,120.19729682532,118.75372722532,0.328084,0,12.4635502676,0.88353677368,17,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,277.9, -6.1, -4.6,0,0,1024,1024,1024,1024,0,0,0,0,294.2,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
982600,2022-08-24 01:07:11,-34.9065289990508,-56.1631190086946,-0.328084,-0.26246719999999,120.19729682532,118.75372722532,0.328084,0,12.3833009212,0.96604005716,17,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,277.7, -6.2, -4.2,0,0,1024,1024,1024,1024,0,0,0,0,293.9,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
982700,2022-08-24 01:07:11,-34.9065289286157,-56.1631192737822,-0.328084,-0.26246719999999,120.19729682532,118.75372722532,0.328084,0,12.302821916,1.04941604408,16,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,276.6, -6.4, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,293.3,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
982800,2022-08-24 01:07:11,-34.9065289352484,-56.1631198980168,-0.328084,-0.2296588,120.16448842532,118.75372722532,0.328084,0,12.1164045872,1.23620738864,16,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,276, -7.4, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,292.5,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
982900,2022-08-24 01:07:11,-34.9065288646504,-56.1631202465998,-0.328084,-0.2296588,120.16448842532,118.75372722532,0.328084,0,12.010991198,1.34363849444,15,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0,275.2, -9, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,291.8,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
983000,2022-08-24 01:07:11,-34.9065287337838,-56.1631205274641,-0.328084,-0.1968504,120.13168002532,118.75372722532,0.328084,0,11.924869148,1.44029204084,15,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,-0.223694,274.6, -8.9, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,291.2,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,118.75372722532,-0.328084,10,Assisted_Takeoff,
983100,2022-08-24 01:07:11,-34.9065285296648,-56.1631208621377,0,0.1312336,120.13168002532,119.08181122532,0.328084,0.223694,11.8218179636,1.56508535192,15,5,7.591,119.08181122532,0,0.223694,12.9803481844,0.223694,0,-0.671082,275.6, -6.4, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,291.1,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,119.08181122532,0,6,P-GPS,
983200,2022-08-24 01:07:11,-34.9065282290329,-56.1631205624856,0,0.06561680000001,120.19729682532,119.08181122532,0.328084,0.223694,11.9078743968,1.70675530396,15,5,7.591,119.08181122532,0,0.223694,12.9803481844,0.223694,0,0,276.6, -5.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,291.1,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,119.08181122532,0,6,P-GPS,
983300,2022-08-24 01:07:11,-34.9065280539556,-56.1631205962797,0,0.06561680000001,120.19729682532,119.08181122532,0.328084,0,11.896161798,1.77142722204,16,5,7.591,119.08181122532,0,0.223694,12.9803481844,0,0,0.447388,275.7, -6.2, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,291.1,0,0,40,3.798,3.79,0,0,0,0,1.122,95.54,119.08181122532,0,6,P-GPS,
983400,2022-08-24 01:07:11,-34.9065279385397,-56.1631206719638,0,0.06561680000001,120.19729682532,119.08181122532,0.328084,0,11.8726381752,1.81923890336,16,5,7.598,119.08181122532,0,0.223694,12.9803481844,0,0,0.223694,275.9, -6.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,291.2,0,0,40,3.795,3.785,0,0,0,0,1.367,95.54,119.08181122532,0,6,P-GPS,
