time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-12-18 05:26:27,-34.9065582333232,-56.163239709816,0,0,117.28622520985,117.28622520985,0,0,0,0,17,5,0,117.28622520985,0,0,0,0,0,0,147.4, -6.1, 2.8,0,0,364,364,364,1684,-100,-100,-100,100,158,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2022-12-18 05:26:27,-34.9065581131774,-56.1632397799741,0,0,117.28622520985,117.28622520985,0,0,0.04860236376,0.04860236376,17,5,0,117.28622520985,0,0,0.04860236376,0,0,0,147.5, -6.3, 2.9,0,0,364,364,364,1684,-100,-100,-100,100,158.1,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 82. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2022-12-18 05:26:27,-34.9065580839411,-56.1632397988598,0,0,117.28622520985,117.28622520985,0.328084,0,0.060665356272,0.060673230288,17,5,0,117.28622520985,0,0,0.060665356272,0,0,0,147.7, -6.3, 2.8,0,0,364,364,364,1684,-100,-100,-100,100,158.1,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
300,2022-12-18 05:26:27,-34.9065580321212,-56.1632398034158,0,0,117.28622520985,117.28622520985,0.328084,0,0.078569228236,0.079628939556,17,5,0,117.28622520985,0,0,0.078569228236,0,0,0,148, -5.7, 3.2,0,0,364,364,364,1684,-100,-100,-100,100,158.5,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
400,2022-12-18 05:26:27,-34.9065579769442,-56.1632397815319,0,0,117.28622520985,117.28622520985,0.328084,0,0.09596949126,0.100798231572,17,5,0,117.28622520985,0,0,0.09596949126,0,0,0,148.1, -5.9, 3.2,0,0,364,1024,364,1684,-100,0,-100,100,158.7,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
500,2022-12-18 05:26:27,-34.9065579031212,-56.1632399765768,0,0,117.28622520985,117.28622520985,0.328084,0,0.144515424572,0.165072839928,17,5,0,117.28622520985,0,0,0.144515424572,0,0,0,147.7, -6.8, 3.2,0,0,1024,1024,1024,1153,0,0,0,20,158.7,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
600,2022-12-18 05:26:27,-34.9065578788337,-56.1632400628053,0,0,117.28622520985,117.28622520985,0.328084,0,0.166980976472,0.192352696444,17,5,0,117.28622520985,0,0,0.166980976472,0,0,0,145.5, -7.6, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,157.8,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
700,2022-12-18 05:26:27,-34.9065579115712,-56.1632400460597,0,0,117.28622520985,117.28622520985,0.328084,0,0.154604007572,0.20530512468,17,5,0,117.28622520985,0,0,0.166980976472,0,0,0,145.4, -8.9, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
800,2022-12-18 05:26:27,-34.90655793628,-56.1632399957067,0,0,117.28622520985,117.28622520985,0.328084,0,0.138067261636,0.222862211856,17,5,0,117.28622520985,0,0,0.166980976472,0,0,0,145.7, -9.3, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,156.6,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
900,2022-12-18 05:26:27,-34.9065579823352,-56.1632397075987,0,0,117.28622520985,117.28622520985,0.328084,0,0.091575134164,0.31068898632,17,5,0,117.28622520985,0,0,0.166980976472,0,0,0,143.6, -9.3, 3.3,0,0,1024,1024,1024,1024,0,0,0,0,155.8,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
1000,2022-12-18 05:26:28,-34.9065579742011,-56.1632395612328,0,0,117.28622520985,117.28622520985,0.328084,0,0.10447178812,0.35458334468,17,5,0,117.28622520985,0,0,0.166980976472,0,0,0,142.7, -10.8, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,153.9,0,0,32,3.782,3.779,0,0,0,0,0,87.26,117.28622520985,0,41,Motors_Started,
