time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-12-08 00:26:53,-34.9246321778997,-56.1688999859726,0,0,31.69955646058,31.69955646058,0,0,0,0,25,5,0,31.69955646058,0,0,0,-0.223694,1.342164,0,167.3, -8.6, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,185.1,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2022-12-08 00:26:53,-34.92463233997,-56.1688996198739,0,0,31.69955646058,31.69955646058,0,1.1408394,0.124459321568,0.124459321568,25,5,0,31.69955646058,0,1.1408394,0.124459321568,-0.223694,1.11847,0,164.1, -10.3, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,183.8,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 79. Setting new Maximum Flight Altitude to 120m (394 ft)"
200,2022-12-08 00:26:53,-34.9246325299302,-56.1688993216522,0,-0.032808399999999,31.73236486058,31.69955646058,0,1.3645334,0.236618773976,0.237428485288,25,5,0,31.69955646058,0,1.3645334,0.236618773976,-0.223694,1.342164,0,164.9, -9.3, -0.7,0,0,364,364,364,1684,-100,-100,-100,100,182.5,-20.4,0.1,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,
300,2022-12-08 00:26:53,-34.9246327454821,-56.1688989270395,0,-0.032808399999999,31.73236486058,31.69955646058,0.328084,1.1408394,0.37845473652,0.37927166568,25,5,0,31.69955646058,0,1.3645334,0.37845473652,-0.223694,1.11847,0,165.8, -9.3, -2.6,0,0,364,364,364,1684,-100,-100,-100,100,182.7,-20.4,0.1,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,
400,2022-12-08 00:26:53,-34.9246322411359,-56.1689009177798,0,0.032808399999999,31.66674806058,31.69955646058,0.328084,1.1408394,0.279695875092,1.00256892972,25,5,0,31.69955646058,0,1.3645334,0.37845473652,-0.223694,1.11847,0,165, -9.7, -2.8,0,0,364,364,364,1684,-100,-100,-100,100,181.8,-20.4,0.1,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,
500,2022-12-08 00:26:53,-34.9246322591635,-56.1689006673709,0,0.032808399999999,31.66674806058,31.69955646058,0.328084,0.9171454,0.205979993468,1.07776250168,24,5,0,31.69955646058,0,1.3645334,0.37845473652,-0.223694,0.894776,0,163.7, -10, -1.9,0,0,364,364,364,1684,-100,-100,-100,100,180.7,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.69955646058,0,41,Motors_Started,
600,2022-12-08 00:26:53,-34.924632243296,-56.168900503063,-0.328084,-0.2952756,31.66674806058,31.37147246058,0.328084,0.9171454,0.156512800284,1.12725397308,24,5,0,31.69955646058,0,1.3645334,0.37845473652,-0.223694,0.894776,0,162.6, -8.6, -0.5,0,0,727,442,364,1630,-45,-88,-100,92,179.3,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,41,Motors_Started,
700,2022-12-08 00:26:53,-34.9246322517248,-56.1689002724323,-0.328084,-0.328084,31.69955646058,31.37147246058,0.328084,0.7158208,0.089825462192,1.19631565508,24,5,0,31.69955646058,0,1.3645334,0.37845473652,-0.223694,0.671082,0,160.9, -7, 1.5,0,0,1034,792,693,1174,2,-35,-50,23,178,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,41,Motors_Started,
800,2022-12-08 00:26:54,-34.9246315803682,-56.1689016532529,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.4921268,0.54431760272,1.6765420484,24,5,0,31.69955646058,0,1.3645334,0.54431760272,-0.223694,0.447388,0,160.4, -6.6, 2.7,0,0,1024,1024,1030,1024,0,0,1,0,176.8,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,41,Motors_Started,
900,2022-12-08 00:26:54,-34.9246315396164,-56.1689015113217,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.447388,0.5122867618,1.72152564564,24,5,0,31.69955646058,0,1.3645334,0.54431760272,0,0.447388,0,161, -6.4, 2.5,0,0,1024,1024,1030,1024,0,0,1,0,177.2,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,41,Motors_Started,
1000,2022-12-08 00:26:54,-34.924631476195,-56.1689014582832,-0.328084,-0.328084,31.69955646058,31.37147246058,0.328084,0.447388,0.50943571184,1.74958338932,24,5,0,31.69955646058,0,1.3645334,0.54431760272,0,0.447388,0,161.8, -4.7, 1.9,0,0,1024,1024,1473,1024,0,0,68,0,177.8,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,41,Motors_Started,
1100,2022-12-08 00:26:54,-34.9246314319624,-56.1689013729227,-0.328084,-0.328084,31.69955646058,31.37147246058,0.328084,0.3131716,0.49619096076,1.7797900832,24,5,0,31.69955646058,0,1.3645334,0.54431760272,-0.223694,0.223694,0,162.4, -5.5, 1.1,0,0,1024,1024,1684,1024,0,0,100,0,178.4,-20.4,0,100,4.336,4.335,0,0,0,0,0,81.86,31.37147246058,-0.328084,10,Assisted_Takeoff,
1200,2022-12-08 00:26:54,-34.9246310233976,-56.1689023566138,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.223694,0.82482286104,2.10965557932,24,5,8.681,31.69955646058,0,1.3645334,0.82482286104,0,0.223694,0,162.5, -5, 1.4,0,0,1024,1024,1684,1024,0,0,100,0,178.5,-20.4,0,100,4.336,4.335,0,0,0,0,1.029,81.86,31.37147246058,-0.328084,10,Assisted_Takeoff,
1300,2022-12-08 00:26:54,-34.9246309899567,-56.1689022966641,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.223694,0.81586944868,2.13134521256,24,5,8.681,31.69955646058,0,1.3645334,0.82482286104,0,0.223694,0,162.6, -3, 0.4,0,0,1024,1024,1684,1024,0,0,100,0,178.5,-20.4,0,100,4.336,4.335,0,0,0,0,1.029,81.86,31.37147246058,-0.328084,10,Assisted_Takeoff,
1400,2022-12-08 00:26:54,-34.9246308536324,-56.1689021818147,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.223694,0.81542653528,2.19179468956,24,5,8.681,31.69955646058,0,1.3645334,0.82482286104,0,0.223694,0,162.7, -3.5, -0.4,0,0,1024,1024,1684,1024,0,0,100,0,178.6,-20.4,0,100,4.336,4.335,0,0,0,0,1.029,81.86,31.37147246058,-0.328084,10,Assisted_Takeoff,
1500,2022-12-08 00:26:54,-34.9246307283297,-56.16890201825,-0.328084,-0.2624672,31.63393966058,31.37147246058,0.328084,0.223694,0.8057907082,2.2587599148,24,5,8.681,31.69955646058,0,1.3645334,0.82482286104,0,0.223694,0,162.8, -4, -0.9,0,0,1024,1024,1443,1024,0,0,63,0,178.6,-20.4,0,100,4.336,4.335,0,0,0,0,1.029,81.86,31.37147246058,-0.328084,10,Assisted_Takeoff,
