time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-01-03 04:59:40,-34.9569115702436,-54.9391761825875,0,0,26.24672,26.24672,0.328084,0,0,0,10,4,0,26.24672,0,0,0,0,0,0,121.4, -7.5, 1.9,0,0,364,364,364,1684,-100,-100,-100,100,127.4,-2.5,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,
100,2023-01-03 04:59:40,-34.9569118572862,-54.93917609255,0,0,26.24672,26.24672,0.328084,0,0.108132549392,0.108132549392,10,4,0,26.24672,0,0,0.108132549392,0,0,0,121.8, -7.5, 1.7,0,0,364,364,364,1684,-100,-100,-100,100,127.6,-2.5,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,
200,2023-01-03 04:59:41,-34.956912131692,-54.9391760129581,0,0,26.24672,26.24672,0.328084,0,0.211030846648,0.211039376832,10,4,0,26.24672,0,0,0.211030846648,0,0,0,121.7, -7.2, 1.6,0,0,364,364,364,1684,-100,-100,-100,100,127.9,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,N/A
300,2023-01-03 04:59:41,-34.956913421817,-54.9391758469232,0,0,26.24672,26.24672,0.328084,0,0.68296262028,0.6843504156,10,4,0,26.24672,0,0,0.68296262028,0,0,0,121.5, -6.2, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,127.9,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,
400,2023-01-03 04:59:41,-34.9569137601556,-54.9391757409383,0,0,26.24672,26.24672,0.328084,0,0.80982942224,0.81179792624,11,4,0,26.24672,0,0,0.80982942224,0,0,0,121.1, -5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,127.7,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 85. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2023-01-03 04:59:41,-34.9569141100365,-54.9391756670481,0,0,26.24672,26.24672,0.328084,0,0.93937667048,0.94134845532,11,4,0,26.24672,0,0,0.93937667048,0,0,0,121, -4.9, 0.2,0,0,364,587,1040,1428,-100,-66,2,61,127.4,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,
600,2023-01-03 04:59:41,-34.9569144507135,-54.9391755917063,0,0,26.24672,26.24672,0.328084,0,1.06568572964,1.06767063784,10,4,0,26.24672,0,0,1.06568572964,0,0,0,120.9, -4.6, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,127.2,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,
700,2023-01-03 04:59:41,-34.956915368016,-54.9391753380935,0,0,26.24672,26.24672,0.328084,0,1.40843836528,1.41083337848,10,4,0,26.24672,0,0,1.40843836528,0,0,0,121, -5, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,127.2,-2.5,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,N/A
800,2023-01-03 04:59:41,-34.95691584274,-54.9391751849832,0,-0.032808399999999,26.2795284,26.24672,0.328084,0,1.58710306916,1.58998364668,10,4,0,26.24672,0,0,1.58710306916,0,0,0,121.1, -4.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,127.2,-2.6,0,86,4.211,4.205,0,0,0,0,0,93.02,26.24672,0,41,Motors_Started,"Despegue permitido. Error de calibración del estabilizador"
900,2023-01-03 04:59:41,-34.9569162814103,-54.9391750958538,0,-0.032808399999999,26.2795284,26.24672,0.328084,0,1.74931436044,1.75223758888,10,4,8.426,26.24672,0,0,1.74931436044,0,0,0,121, -4.4, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,127.2,-2.6,0,86,4.211,4.205,0,0,0,0,0.64,93.02,26.24672,0,41,Motors_Started,
