time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-01-03 17:50:06,-34.9536553943355,-54.9408178097906,0,0,14.891811172076,14.891811172076,0.328084,0,0,0,22,5,0,14.891811172076,0,0,0,0,0,0,252.4, -3, 0.1,0,0,364,364,364,1684,-100,-100,-100,100,263.6,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,6,P-GPS,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2023-01-03 17:50:06,-34.953655371158,-54.9408177927053,0,0,14.891811172076,14.891811172076,0.328084,0,0.0098798887676,0.0098798887676,22,5,0,14.891811172076,0,0,0.0098798887676,0,0,0,253.2, -3.6, -0.6,0,0,364,364,364,1684,-100,-100,-100,100,263.9,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
200,2023-01-03 17:50:06,-34.9536553350645,-54.9408177732994,0,0,14.891811172076,14.891811172076,0.328084,0,0.0242222448696,0.024270506026,22,5,0,14.891811172076,0,0,0.0242222448696,0,0,0,253, -3.5, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,264.4,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
300,2023-01-03 17:50:06,-34.9536552783239,-54.9408177247508,0,0,14.891811172076,14.891811172076,0.328084,0,0.049378610504,0.04955544778,22,5,0,14.891811172076,0,0,0.049378610504,0,0,0,253.2, -2.2, 1,0,0,364,364,364,1684,-100,-100,-100,100,264.5,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
400,2023-01-03 17:50:06,-34.9536552577917,-54.9408176378033,0,0,14.891811172076,14.891811172076,0.328084,0,0.071602364496,0.076613519512,22,5,0,14.891811172076,0,0,0.071602364496,0,0,0,254.5, -2.1, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,265.2,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
500,2023-01-03 17:50:06,-34.9536552865902,-54.940817416747,0,-0.032808400000002,14.924619572076,14.891811172076,0.328084,0,0.123934059084,0.143547248688,22,5,0,14.891811172076,0,0,0.123934059084,0,0,0,253.6, -2.2, 1.6,0,0,1024,959,638,1184,0,-10,-58,24,265.6,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
600,2023-01-03 17:50:06,-34.9536552553241,-54.9408173491745,0,-0.032808400000002,14.924619572076,14.891811172076,0.328084,0,0.146781828844,0.166751645756,22,5,0,14.891811172076,0,0,0.146781828844,0,0,0,253.3, -1.9, 2,0,0,1024,1024,1024,1024,0,0,0,0,265.1,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
700,2023-01-03 17:50:07,-34.9536552229696,-54.9408173077458,0,-0.032808400000002,14.924619572076,14.891811172076,0.328084,0,0.162628286044,0.183863851028,22,5,0,14.891811172076,0,0,0.162628286044,0,0,0,254, -1.2, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,265.1,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.891811172076,0,41,Motors_Started,
800,2023-01-03 17:50:07,-34.9536551912953,-54.9408172362647,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.186819887868,0.208163064404,22,5,0,14.891811172076,0,0,0.186819887868,0,0,0,254, -0.4, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,265.4,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.563727172076,-0.328084,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 91. Setting new Maximum Flight Altitude to 120m (394 ft)"
900,2023-01-03 17:50:07,-34.9536551563071,-54.9408171099638,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.226577763156,0.248030519748,22,5,0,14.891811172076,0,0,0.226577763156,0,0,0,254.4, -0.5, 2.9,0,0,1024,1024,1138,1024,0,0,17,0,265.5,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.563727172076,-0.328084,41,Motors_Started,
1000,2023-01-03 17:50:07,-34.9536551147171,-54.9408170419672,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.251251320376,0.273401911636,22,5,0,14.891811172076,0,0,0.251251320376,0,0,0,254.5, 0.4, 3.6,0,0,1024,1024,1361,1024,0,0,51,0,265.7,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.563727172076,-0.328084,41,Motors_Started,
1100,2023-01-03 17:50:07,-34.9536550644658,-54.9408169823689,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.275147318516,0.298970810092,22,5,0,14.891811172076,0,0,0.275147318516,0,0,0,254.2, 0.6, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,265.7,0,0,93,4.289,4.289,0,0,0,0,0,88.16,14.563727172076,-0.328084,41,Motors_Started,
1200,2023-01-03 17:50:07,-34.9536550198453,-54.9408169403446,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.293711295488,0.319536755632,22,5,8.603,14.891811172076,0,0,0.293711295488,0,0,0,254.6, 0.4, 3.5,0,0,1024,1024,1282,1024,0,0,39,0,265.7,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1300,2023-01-03 17:50:07,-34.9536549218986,-54.9408169197542,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.317093514084,0.35580053632,22,5,8.603,14.891811172076,0,0,0.317093514084,0,0,0,254.2, 0.5, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,265.8,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1400,2023-01-03 17:50:07,-34.9536548919095,-54.9408168813799,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.33268701852,0.3716535552,22,5,8.603,14.891811172076,0,0,0.33268701852,0,0,0,254.5, 0.2, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,265.8,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1500,2023-01-03 17:50:07,-34.9536548725204,-54.9408168436137,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.34600722892,0.38498032728,22,5,8.603,14.891811172076,0,0,0.34600722892,0,0,0,254.8, 0.2, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,266,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1600,2023-01-03 17:50:07,-34.9536548400397,-54.9408168214201,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.35812665188,0.39856300488,22,5,8.603,14.891811172076,0,0,0.35812665188,0,0,0,254.7, 0, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,266.1,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1700,2023-01-03 17:50:08,-34.9536548600429,-54.9408168177259,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.35497704548,0.40594489488,22,5,8.603,14.891811172076,0,0,0.35812665188,0,0,0,257.1, 0, 1.9,0,0,1024,1024,1111,1024,0,0,13,0,267.4,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
1800,2023-01-03 17:50:08,-34.9536548559474,-54.9408167718581,-0.328084,-0.3608924,14.924619572076,14.563727172076,0.328084,0,0.36731628472,0.41974082708,22,5,8.603,14.891811172076,0,0,0.36731628472,0,0,0,258, 0.7, 1.5,0,0,1024,1024,1446,1024,0,0,64,0,268.9,0,0,93,4.289,4.289,0,0,0,0,0.598,88.16,14.563727172076,-0.328084,10,Assisted_Takeoff,
