time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-01-04 19:37:53,-34.9535351207111,-54.9408358527355,0,0,14.546969297524,14.546969297524,0,0,0,0,21,5,0,14.546969297524,0,0,0,0,0,0,152, -1.2, 2.3,0,0,364,364,364,1684,-100,-100,-100,100,161.6,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
100,2023-01-04 19:37:53,-34.9535351344485,-54.9408358732181,0,0,14.546969297524,14.546969297524,0,0,0.0079143375236,0.0079143375236,20,5,0,14.546969297524,0,0,0.0079143375236,0,0,0,151.2, -1.4, 2.5,0,0,364,364,364,1684,-100,-100,-100,100,161.4,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
200,2023-01-04 19:37:53,-34.9535351496899,-54.9408359845934,0,0,14.546969297524,14.546969297524,0.328084,0,0.040823164036,0.041680775612,20,5,0,14.546969297524,0,0,0.040823164036,0,0,0,150.8, -1.1, 3,0,0,364,364,364,1684,-100,-100,-100,100,161,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
300,2023-01-04 19:37:53,-34.9535351505959,-54.940836103553,0,0,14.546969297524,14.546969297524,0.328084,0,0.075791997176,0.0772555799,21,5,0,14.546969297524,0,0,0.075791997176,0,0,0,150.4, -0.7, 3.9,0,0,364,364,364,1684,-100,-100,-100,100,160.7,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
400,2023-01-04 19:37:53,-34.9535348172117,-54.9408360605837,0,0,14.546969297524,14.546969297524,0.328084,0,0.126982943696,0.199567263604,21,5,0,14.546969297524,0,0,0.126982943696,0,0,0,150, -0.4, 4.1,0,0,364,364,364,1684,-100,-100,-100,100,160.4,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
500,2023-01-04 19:37:54,-34.9535346583776,-54.9408359973539,0,0,14.546969297524,14.546969297524,0.328084,0,0.174137472764,0.260524614636,21,5,0,14.546969297524,0,0,0.174137472764,0,0,0,149.6, -0.1, 4.1,0,0,364,364,364,1684,-100,-100,-100,100,160,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
600,2023-01-04 19:37:54,-34.9535345765487,-54.9408359771944,0,0,14.546969297524,14.546969297524,0.328084,0,0.201995741372,0.290982292776,21,5,0,14.546969297524,0,0,0.201995741372,0,0,0,149.3, 0.2, 4,0,0,364,364,364,1684,-100,-100,-100,100,159.8,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
700,2023-01-04 19:37:54,-34.9535344937704,-54.9408359677006,0,0.032808400000002,14.514160897524,14.546969297524,0.328084,0,0.231308078268,0.321316939416,21,5,0,14.546969297524,0,0,0.231308078268,0,0,0,148.9, 0.3, 4.8,0,0,364,364,364,1684,-100,-100,-100,100,159.5,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 95. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2023-01-04 19:37:54,-34.9535345687492,-54.9408359434542,0,0,14.546969297524,14.546969297524,0.328084,0,0.20320210624,0.34961615292,21,5,0,14.546969297524,0,0,0.231308078268,0,0,0,149, -0.2, 3.7,0,0,364,364,364,1684,-100,-100,-100,100,159.2,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
900,2023-01-04 19:37:54,-34.953534546558,-54.9408359389123,0,0,14.546969297524,14.546969297524,0.328084,0,0.211058733788,0.35782809544,21,5,0,14.546969297524,0,0,0.231308078268,0,0,0,148.8, -1, 1.8,0,0,364,364,364,1684,-100,-100,-100,100,159.2,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
1000,2023-01-04 19:37:54,-34.9535345816243,-54.9408359662066,0,0,14.546969297524,14.546969297524,0.328084,0,0.199590885652,0.37300198044,21,5,0,14.546969297524,0,0,0.231308078268,0,0,0,148.3, -0.9, 1.9,0,0,364,364,364,1684,-100,-100,-100,100,159.1,0,0,99,4.337,4.336,0,0,0,0,0,85.1,14.546969297524,0,41,Motors_Started,
1100,2023-01-04 19:37:54,-34.9535346160407,-54.9408359937001,0,0,14.546969297524,14.546969297524,0.328084,0,0.188892394496,0.38801182344,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,147, -0.9, 3,0,0,364,364,364,1684,-100,-100,-100,100,158.3,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1200,2023-01-04 19:37:54,-34.9535351372425,-54.9408361657849,0,0,14.546969297524,14.546969297524,0.328084,0,0.0938074177,0.58501314208,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,146, -0.8, 3.1,0,0,364,364,364,1684,-100,-100,-100,100,157.2,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1300,2023-01-04 19:37:54,-34.9535352458717,-54.940836201528,0,0,14.546969297524,14.546969297524,0.328084,0,0.113860239864,0.62605973132,20,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,144.7, 0, 3.4,0,0,364,364,364,1684,-100,-100,-100,100,156.1,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1400,2023-01-04 19:37:55,-34.9535353620349,-54.9408362655992,0,0,14.546969297524,14.546969297524,0.328084,0,0.151640752884,0.6725722,20,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,144.6, 1.1, 3.7,0,0,364,364,364,1684,-100,-100,-100,100,155.3,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1500,2023-01-04 19:37:55,-34.9535354689968,-54.940836312289,0,0,14.546969297524,14.546969297524,0.328084,0,0.187169625412,0.71401905172,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,144.6, 1.3, 3.9,0,0,364,364,364,1684,-100,-100,-100,100,155.3,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1600,2023-01-04 19:37:55,-34.9535354227211,-54.9408359817105,0,0,14.546969297524,14.546969297524,0.328084,0,0.116743113972,0.81430776884,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0.223694,143.6, -1.1, 4.2,0,0,364,364,364,1684,-100,-100,-100,100,155,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1700,2023-01-04 19:37:55,-34.9535353929705,-54.940835822882,0,0,14.546969297524,14.546969297524,0.328084,0,0.099733927076,0.86302824284,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0.223694,141.8, -2.9, 5.7,0,0,364,364,364,1684,-100,-100,-100,100,153.6,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1800,2023-01-04 19:37:55,-34.9535353748683,-54.94083578749,0,0,14.546969297524,14.546969297524,0.328084,0,0.094759517468,0.87550199652,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,142.6, -2.2, 7.2,0,0,364,364,364,1684,-100,-100,-100,100,153.2,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,10,Assisted_Takeoff,
1900,2023-01-04 19:37:55,-34.9535353267472,-54.9408357808354,0,0,14.546969297524,14.546969297524,0.328084,0,0.078186354208,0.89317260076,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,0,142.2, -1.8, 9.4,0,0,364,364,364,1684,-100,-100,-100,100,153.4,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,6,P-GPS,
2000,2023-01-04 19:37:55,-34.9535353499639,-54.9408358396373,0,0,14.546969297524,14.546969297524,0.328084,0,0.083734254648,0.91269031792,21,5,8.678,14.546969297524,0,0,0.231308078268,0,0,-0.223694,141.5, -2, 15.7,0,0,1025,650,364,1684,0,-57,-100,100,155.8,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,6,P-GPS,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
2100,2023-01-04 19:37:55,-34.9535352867986,-54.9408358926217,0,0,14.546969297524,14.546969297524,0.328084,0.223694,0.061759516412,0.94065619808,21,5,8.678,14.546969297524,0,0.223694,0.231308078268,0.223694,0,-0.223694,145.1, 2, 1.7,0,0,1024,1024,1024,1178,0,0,0,23,160.3,0,0,99,4.337,4.336,0,0,0,0,1.083,85.1,14.546969297524,0,6,P-GPS,
2200,2023-01-04 19:37:55,-34.9535351922721,-54.9408358938865,0,0,14.546969297524,14.546969297524,0.328084,0.223694,0.0288635836008,0.975147669,21,5,8.682,14.546969297524,0,0.223694,0.231308078268,0.223694,0,-0.223694,147, 5.3, -8.6,0,0,1024,1024,1054,1024,0,0,5,0,165,0,0,99,4.342,4.34,0,0,0,0,1.382,85.1,14.546969297524,0,6,P-GPS,
2300,2023-01-04 19:37:55,-34.9535350957593,-54.9408358766546,0,0,14.546969297524,14.546969297524,0.328084,0,0.0115774610004,1.01073494048,21,5,8.682,14.546969297524,0,0.223694,0.231308078268,0,0,0,147.2, 1.6, -6.9,0,0,1024,1024,1130,1028,0,0,16,1,167.4,0,0,99,4.342,4.34,0,0,0,0,1.382,85.1,14.546969297524,0,6,P-GPS,
