time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
27900,2023-03-29 16:25:15,-34.9537895009154,-54.9408349047263,0,0,14.583542461424,14.583542461424,0.328084,0,0,0,24,5,0,14.583542461424,0,0,0,0,0,0,190.2, 0.8, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0,99.32,14.583542461424,0,41,Motors_Started,
28000,2023-03-29 16:25:15,-34.9537895016661,-54.9408349100656,0,0,14.583542461424,14.583542461424,0.328084,0,0.0016199475584,0.0016199475584,24,5,0,14.583542461424,0,0,0.0016199475584,0,0,0,190.2, 0.8, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0,99.32,14.583542461424,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
28100,2023-03-29 16:25:15,-34.953789496574,-54.940834914015,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.00319752962988,0.0038214240068,24,5,0,14.583542461424,0,0,0.00319752962988,0,0,0,190.2, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0,99.32,14.583542461424,0,41,Motors_Started,
28200,2023-03-29 16:25:15,-34.9537894360838,-54.9408349424815,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0262100730172,0.0274759851312,24,5,0,14.583542461424,0,0,0.0262100730172,0,0,0,190.2, 0.8, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0,99.32,14.583542461424,0,41,Motors_Started,
28300,2023-03-29 16:25:15,-34.9537894313125,-54.9408349453465,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0281501649428,0.0294162082904,24,5,0,14.583542461424,0,0,0.0281501649428,0,0,0,190.2, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0,99.32,14.583542461424,0,41,Motors_Started,
28400,2023-03-29 16:25:15,-34.9537894268733,-54.9408349481422,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0299720482032,0.0312388789524,24,5,8.534,14.583542461424,0,0,0.0299720482032,0,0,0,190.2, 0.8, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,
28500,2023-03-29 16:25:15,-34.9537894244909,-54.9408349493606,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0309133540076,0.0321813658592,24,5,8.534,14.583542461424,0,0,0.0309133540076,0,0,0,190.2, 0.8, 8.4,0,0,888,896,1008,1024,-21,-19,-2,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,
28600,2023-03-29 16:25:15,-34.9537894048861,-54.940834951439,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.03771817706,0.039361221732,24,5,8.534,14.583542461424,0,0,0.03771817706,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 120m (394 ft)"
28700,2023-03-29 16:25:15,-34.9537894049284,-54.9408349512485,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.037682743988,0.039420276852,24,5,8.534,14.583542461424,0,0,0.03771817706,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,
28800,2023-03-29 16:25:16,-34.9537894049268,-54.9408349506351,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.037616142936,0.039603675808,24,5,8.534,14.583542461424,0,0,0.03771817706,0,0,0,190.2, 0.7, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,
28900,2023-03-29 16:25:16,-34.9537894056775,-54.9408349473511,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.037011484124,0.040623032796,24,5,8.534,14.583542461424,0,0,0.03771817706,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,41,Motors_Started,
29000,2023-03-29 16:25:16,-34.9537893926581,-54.9408349439746,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.041204397644,0.045479332164,24,5,8.534,14.583542461424,0,0,0.041204397644,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,10,Assisted_Takeoff,
29100,2023-03-29 16:25:16,-34.9537893417171,-54.9408349437607,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.059244752552,0.064065290764,24,5,8.534,14.583542461424,0,0,0.059244752552,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,10,Assisted_Takeoff,
29200,2023-03-29 16:25:16,-34.9537892961988,-54.9408349432295,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.075572837064,0.080673230928,24,5,8.534,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.9, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,10,Assisted_Takeoff,
29300,2023-03-29 16:25:16,-34.9537893330049,-54.9408349425518,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.062297574172,0.094103677552,24,5,8.534,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.3,0,0,1101,1024,1024,1024,12,0,0,0,201.5,0,0,91,4.258,4.257,0,0,0,0,0.595,99.32,14.583542461424,0,10,Assisted_Takeoff,
29400,2023-03-29 16:25:16,-34.9537893698875,-54.9408349414892,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.049053151176,0.10756397982,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1101,1024,1024,1024,12,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
29500,2023-03-29 16:25:16,-34.953789407402,-54.9408349351671,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.03531168092,0.121380909396,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1275,1024,1024,1024,38,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
29600,2023-03-29 16:25:16,-34.9537894429835,-54.9408349264752,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0221144035948,0.134620411132,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1087,1024,1024,1024,10,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
29700,2023-03-29 16:25:17,-34.9537894498897,-54.9408348737342,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.0207959652324,0.150591868336,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
29800,2023-03-29 16:25:17,-34.9537894559899,-54.9408348236565,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.029263944506,0.1657316326,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1148,1024,1024,1024,19,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
29900,2023-03-29 16:25:17,-34.9537894266958,-54.9408347386814,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.056557416508,0.193298234532,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1449,1024,1024,1024,64,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
30000,2023-03-29 16:25:17,-34.9537894248524,-54.9408347231236,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.060985566256,0.197999022084,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.8, 8.4,0,0,1130,1024,1024,1024,16,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
30100,2023-03-29 16:25:17,-34.9537894215548,-54.9408347235322,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.061434713252,0.199208339708,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.9, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
30200,2023-03-29 16:25:17,-34.9537894179283,-54.9408347231007,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.062182088604,0.200537736076,24,5,8.504,14.583542461424,0,0,0.075572837064,0,0,0,190.2, 0.9, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
30300,2023-03-29 16:25:17,-34.9537894015933,-54.9408346600571,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.081647312324,0.220309718336,24,5,8.504,14.583542461424,0,0,0.081647312324,0,0,0,190.2, 0.7, 8.4,0,0,1302,1024,1024,1024,42,0,0,0,201.5,0,0,91,4.254,4.252,0,0,0,0,1.332,99.32,14.583542461424,0,10,Assisted_Takeoff,
30400,2023-03-29 16:25:17,-34.953789404663,-54.9408346185433,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.092504268052,0.232774285664,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.8, 8.4,0,0,1452,1024,1024,1024,65,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
30500,2023-03-29 16:25:17,-34.9537894551203,-54.9408346087464,0,-0.065616800000002,14.649159261424,14.583542461424,0.328084,0,0.090071853276,0.251415034292,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.8, 8.4,0,0,1076,1024,1024,1024,8,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
30600,2023-03-29 16:25:17,-34.9537895011597,-54.9408346005922,0,0,14.583542461424,14.583542461424,0.328084,0,0.090947181388,0.268388788116,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.9, 8.4,0,0,1169,1024,1024,1024,22,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
30700,2023-03-29 16:25:18,-34.9537895832333,-54.9408346648218,0,0,14.583542461424,14.583542461424,0.328084,0,0.077772968368,0.303963592404,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.9, 8.4,0,0,1545,1024,1024,1024,79,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
30800,2023-03-29 16:25:18,-34.9537895954792,-54.9408346729773,0,0,14.583542461424,14.583542461424,0.328084,0,0.07741470064,0.309053815664,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.8, 8.4,0,0,1075,1024,1024,1024,8,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
30900,2023-03-29 16:25:18,-34.9537895927401,-54.9408346821735,0,0,14.583542461424,14.583542461424,0.328084,0,0.074508204484,0.311979668776,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.8, 8.4,0,0,1200,1024,1024,1024,27,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
31000,2023-03-29 16:25:18,-34.9537895917891,-54.9408346886978,0,0,14.583542461424,14.583542461424,0.328084,0,0.072611878964,0.313961296136,24,5,8.512,14.583542461424,0,0,0.092504268052,0,0,0,190.2, 0.8, 8.4,0,0,1200,1024,1024,1024,27,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
31100,2023-03-29 16:25:18,-34.9537896720453,-54.9408346042424,0,0,14.583542461424,14.583542461424,0.328084,0,0.109418310588,0.35262796404,24,5,8.512,14.583542461424,0,0,0.109418310588,0,0,0,190.2, 0.8, 8.4,0,0,1672,1024,1024,1024,98,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
31200,2023-03-29 16:25:18,-34.9537897159498,-54.9408345604502,0,0,14.583542461424,14.583542461424,0.328084,0,0.129437668184,0.37332022192,24,5,8.512,14.583542461424,0,0,0.129437668184,0,0,0,190.2, 0.7, 8.4,0,0,1351,1024,1024,1024,50,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
31300,2023-03-29 16:25:18,-34.9537897280915,-54.9408345457704,0,0,14.583542461424,14.583542461424,0.328084,0,0.13561680224,0.37955709876,24,5,8.512,14.583542461424,0,0,0.13561680224,0,0,0,190.2, 0.8, 8.4,0,0,1056,1024,1024,1024,5,0,0,0,201.5,0,0,91,4.257,4.255,0,0,0,0,1.253,99.32,14.583542461424,0,10,Assisted_Takeoff,
31400,2023-03-29 16:25:18,-34.9537897384924,-54.940834532536,0,0,14.583542461424,14.583542461424,0.328084,0,0.141069886404,0.3850393824,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.8, 8.3,0,0,1684,1024,1024,1024,100,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
31500,2023-03-29 16:25:18,-34.9537897343056,-54.94083453434,0,0,14.583542461424,14.583542461424,0.328084,0,0.139708337804,0.38666011736,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.7, 8.4,0,0,1345,1024,1024,1024,49,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
31600,2023-03-29 16:25:18,-34.9537896795362,-54.9408345603336,0,0,14.583542461424,14.583542461424,0.328084,0,0.12187336348,0.40810040676,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
31700,2023-03-29 16:25:18,-34.9537897226476,-54.9408345672656,0,0,14.583542461424,14.583542461424,0.328084,0,0.129336946396,0.423966549,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.9, 8.4,0,0,1024,1024,1133,1024,0,0,17,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
31800,2023-03-29 16:25:19,-34.953789762779,-54.9408345740757,0,0,14.583542461424,14.583542461424,0.328084,0,0.137493770804,0.43875001404,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.8, 8.4,0,0,1024,1024,1505,1024,0,0,73,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
31900,2023-03-29 16:25:19,-34.9537897724324,-54.9408345804092,0,0,14.583542461424,14.583542461424,0.328084,0,0.138632878452,0.44274607716,24,5,8.512,14.583542461424,0,0,0.141069886404,0,0,0,190.2, 0.7, 8.3,0,0,1024,1024,1505,1024,0,0,73,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
32000,2023-03-29 16:25:19,-34.9537898159786,-54.9408346282219,0,0,14.583542461424,14.583542461424,0.328084,0,0.14159941398,0.46412074976,24,5,8.512,14.583542461424,0,0,0.14159941398,0,0,0,190.1, 0.7, 8.3,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
32100,2023-03-29 16:25:19,-34.9537898649769,-54.9408346313002,0,0,14.583542461424,14.583542461424,0.328084,0,0.15597605486,0.4820210128,24,5,8.512,14.583542461424,0,0,0.15597605486,0,0,0,190.2, 0.8, 8.3,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
32200,2023-03-29 16:25:19,-34.9537899105277,-54.9408346340002,0,0,14.583542461424,14.583542461424,0.328084,0,0.169965884704,0.49866143328,24,5,8.512,14.583542461424,0,0,0.169965884704,0,0,0,190.3, 0.8, 8.4,0,0,1024,1024,1024,1024,0,0,0,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
32300,2023-03-29 16:25:19,-34.9537899213438,-54.9408346333557,0,0,14.583542461424,14.583542461424,0.328084,0,0.173535766708,0.50261156464,24,5,8.512,14.583542461424,0,0,0.173535766708,0,0,0,190.3, 0.8, 8.4,0,0,1024,1024,1218,1024,0,0,29,0,201.5,0,0,91,4.256,4.255,0,0,0,0,1.153,99.5,14.583542461424,0,10,Assisted_Takeoff,
