time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
138700,2025-05-23 15:37:23,0,0,0,,,3.28084E-5,0,0,0,0,2,0,0,3.28084E-5,0,0,0,0,0,0,44.1, 2.2, 1.1,0,0,960,1100,1024,1047,-10,12,0,3,47.6,0,8.8,81,4.015,4.014,0,0,0,0,0,89.42,3.28084E-5,0,6,P-GPS,"Impacto detectado Impacto detectado. No se puede despegar. Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y "
138800,2025-05-23 15:37:24,0,0,0.328084,,,0.3281168084,0,0,0,0,2,0,0,0.3281168084,0.328084,0,0,0,0,0,44.1, 2.2, 1.1,0,0,960,1100,1024,1047,-10,12,0,3,47.6,0,8.7,81,4.015,4.014,0,0,0,0,0,89.42,0.3281168084,0.328084,6,P-GPS,"Impacto detectado. Conexión por cable OTG Impacto detectado. No se puede despegar. Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y "
138900,2025-05-23 15:37:24,0,0,0.328084,,,0.3281168084,0,0,0,0,2,0,0,0.3281168084,0.328084,0,0,0,0,0,44.1, 2.2, 1.1,0,0,960,1100,1024,1047,-10,12,0,3,47.6,0,8.7,81,4.015,4.014,0,0,0,0,0,89.42,0.3281168084,0.328084,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139000,2025-05-23 15:37:24,0,0,0.656168,,,0.6562008084,0.328084,0,0,0,2,0,0,0.6562008084,0.656168,0,0,0,0,0,44.1, 2.2, 1,0,0,960,1100,1024,1047,-10,12,0,3,47.6,0,8.6,81,4.015,4.014,0,0,0,0,0,89.42,0.6562008084,0.656168,41,Motors_Started,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 16. Setting new Maximum Flight Altitude to 30m (98 ft). Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139100,2025-05-23 15:37:24,0,0,0.984252,,,0.9842848084,0.328084,0,0,0,2,0,8.029,0.9842848084,0.984252,0,0,0,0,0,44.1, 2.1, 1,0,0,960,1100,1024,1047,-10,12,0,3,47.7,0,8.5,81,4.015,4.014,0,0,0,0,0.607,89.42,0.9842848084,0.984252,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139200,2025-05-23 15:37:24,0,0,0.984252,,,0.9842848084,0.328084,0,0,0,2,0,8.029,0.9842848084,0.984252,0,0,0,0,0,44.1, 2.2, 1.1,0,0,960,1100,1024,1047,-10,12,0,3,47.7,0,8.4,81,4.015,4.014,0,0,0,0,0.607,89.42,0.9842848084,0.984252,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139300,2025-05-23 15:37:24,0,0,1.312336,,,1.3123688084,0.328084,0,0,0,2,0,8.029,1.3123688084,1.312336,0,0,0,0,0,44, 2.2, 1,0,0,960,1100,1024,1047,-10,12,0,3,47.8,0,8.3,81,4.015,4.014,0,0,0,0,0.607,89.42,1.3123688084,1.312336,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139400,2025-05-23 15:37:24,0,0,1.64042,,,1.6404528084,0.328084,0,0,0,2,0,8.029,1.6404528084,1.64042,0,0,0,0,0,43.9, 2.1, 1.1,0,0,960,1100,1024,1047,-10,12,0,3,47.8,0,8.2,81,4.015,4.014,0,0,0,0,0.607,89.42,1.6404528084,1.64042,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139500,2025-05-23 15:37:24,0,0,1.64042,,,1.6404528084,0.328084,0,0,0,2,0,8.029,1.6404528084,1.64042,0,0,0,0,0,43.9, 2.1, 1,0,0,960,1100,1024,1047,-10,12,0,3,47.9,0,8.2,81,4.015,4.014,0,0,0,0,0.607,89.42,1.6404528084,1.64042,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
139600,2025-05-23 15:37:24,0,0,1.968504,,,1.9685368084,0.328084,0,0,0,2,0,8.029,1.9685368084,1.968504,0,0,0,0,0,43.9, 2.1, 1,0,0,960,1100,1024,1047,-10,12,0,3,47.8,0,8.1,81,4.015,4.014,0,0,0,0,0.607,89.42,1.9685368084,1.968504,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Motor del estabilizador sobrecargado. Reinicia la aeronave. Comprueba si el motor del estabilizador está atascado y asegúrate de que puede moverse libremente"
