time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-05-02 17:01:21,-23.0602476809043,-44.3512910118876,0,0,4.681679283672,4.681679283672,0.328084,0,0,0,14,4,0,4.681679283672,0,0,0,0,0,0,321.2, -2.1, 3,0,0,364,364,364,1684,-100,-100,-100,100,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2025-05-02 17:01:21,-23.0602476800086,-44.3512909806538,0,0,4.681679283672,4.681679283672,0.328084,0,0.0104901250076,0.0104901250076,14,4,0,4.681679283672,0,0,0.0104901250076,0,0,0,321.2, -2, 3.1,0,0,364,364,364,1684,-100,-100,-100,100,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
200,2025-05-02 17:01:21,-23.0602476496186,-44.3512908845515,0,0,4.681679283672,4.681679283672,0.328084,0,0.04424376782,0.044603347884,14,4,0,4.681679283672,0,0,0.04424376782,0,0,0,321.2, -2.2, 2.9,0,0,364,364,364,1684,-100,-100,-100,100,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
300,2025-05-02 17:01:22,-23.0602476819953,-44.3512906640566,0,0,4.681679283672,4.681679283672,0.328084,0,0.116766079852,0.119559387028,14,4,0,4.681679283672,0,0,0.116766079852,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
400,2025-05-02 17:01:22,-23.0602476347965,-44.3512906440892,0,0,4.681679283672,4.681679283672,0.328084,0,0.124608927872,0.138038390244,14,4,0,4.681679283672,0,0,0.124608927872,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 57. Setting new Maximum Flight Altitude to 500m (1640 ft)"
500,2025-05-02 17:01:22,-23.0602475860311,-44.3512906251972,0,0,4.681679283672,4.681679283672,0.328084,0,0.134346132908,0.156926842292,14,4,0,4.681679283672,0,0,0.134346132908,0,0,0,321.2, -2.1, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
600,2025-05-02 17:01:22,-23.0602475824778,-44.3512905917463,0,0,4.681679283672,4.681679283672,0.328084,0,0.145539374736,0.168230648428,14,4,0,4.681679283672,0,0,0.145539374736,0,0,0,321.2, -2.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
700,2025-05-02 17:01:22,-23.0602475907227,-44.3512906063901,0,0,4.681679283672,4.681679283672,0.328084,0,0.140043639652,0.173993771972,14,4,0,4.681679283672,0,0,0.145539374736,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
800,2025-05-02 17:01:22,-23.0602475535176,-44.351290561155,0,0,4.681679283672,4.681679283672,0.328084,0,0.158286094304,0.19436188286,14,4,0,4.681679283672,0,0,0.158286094304,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1024,1024,0,0,0,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
900,2025-05-02 17:01:22,-23.0602475136468,-44.3512905144126,0,0,4.681679283672,4.681679283672,0.328084,0,0.17780020254,0.215758537088,14,4,0,4.681679283672,0,0,0.17780020254,0,0,0,321.2, -2.2, 3,0,0,1024,1024,1255,1024,0,0,35,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
1000,2025-05-02 17:01:22,-23.0602474604536,-44.3512905151237,0,0.032808400000005,4.648870883672,4.681679283672,0.328084,0,0.185144690964,0.235167658444,14,4,0,4.681679283672,0,0,0.185144690964,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1475,1024,0,0,68,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0,78.98,4.681679283672,0,41,Motors_Started,
1100,2025-05-02 17:01:22,-23.060247405181,-44.351290516319,0,0.032808400000005,4.648870883672,4.681679283672,0.328084,0,0.194410767376,0.25533793468,14,4,8.654,4.681679283672,0,0,0.194410767376,0,0,0,321.2, -2.1, 3,0,0,1024,1024,1578,1024,0,0,84,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0.941,78.98,4.681679283672,0,10,Assisted_Takeoff,
1200,2025-05-02 17:01:23,-23.0602473926224,-44.3512904961945,0,0.164042,4.517637283672,4.681679283672,0.328084,0,0.202562998608,0.2635006646,14,4,8.654,4.681679283672,0,0,0.202562998608,0,0,0,321.1, -2.1, 2.9,0,0,1024,1024,1522,1024,0,0,75,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0.941,78.98,4.681679283672,0,10,Assisted_Takeoff,
1300,2025-05-02 17:01:23,-23.0602473806746,-44.3512904748397,0,0.164042,4.517637283672,4.681679283672,0.328084,0,0.21095309074,0.271890756732,14,4,8.654,4.681679283672,0,0,0.21095309074,0,0,0,321.1, -2.1, 2.9,0,0,1024,1024,1449,1024,0,0,64,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0.941,78.98,4.681679283672,0,10,Assisted_Takeoff,
1400,2025-05-02 17:01:23,-23.0602473430559,-44.3512904742485,0,0.164042,4.517637283672,4.681679283672,0.328084,0,0.218559062112,0.285617463208,14,4,8.654,4.681679283672,0,0,0.218559062112,0,0,0,321.1, -2.3, 2.7,0,0,1024,1024,1449,1024,0,0,64,0,343.5,0,0,100,4.319,4.317,0,0,0,0,0.941,78.98,4.681679283672,0,10,Assisted_Takeoff,
1500,2025-05-02 17:01:23,-23.0602472984984,-44.3512904746209,0,0.164042,4.517637283672,4.681679283672,0.328084,0,0.228024285512,0.301874681576,14,4,8.654,4.681679283672,0,0,0.228024285512,0,0,0,320.6, -2.4, 2.2,0,0,1024,1024,1396,1024,0,0,56,0,343.4,0,0,100,4.319,4.317,0,0,0,0,0.941,78.98,4.681679283672,0,10,Assisted_Takeoff,
