time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-05-08 16:28:25,-22.9872084158138,-42.0124355734477,0,0,0.17247539922,0.17247539922,0,0,0,0,20,5,0,0.17247539922,0,0,0,0.223694,0,0,125, -12.3, 0.1,0,0,364,364,364,1684,-100,-100,-100,100,146.8,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2025-05-08 16:28:25,-22.9872081452804,-42.0124355311678,0,0,0.17247539922,0.17247539922,0,0.447388,0.099720147548,0.099720147548,20,5,0,0.17247539922,0,0.447388,0.099720147548,0.447388,0,0,128.1, -9.8, -0.2,0,0,364,364,364,1684,-100,-100,-100,100,148.6,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 69. Setting new Maximum Flight Altitude to 500m (1640 ft)"
200,2025-05-08 16:28:25,-22.9872077510227,-42.0124354420015,0,0.098425199999998,0.074050199220002,0.17247539922,0.328084,0.7158208,0.246534128624,0.246649614192,20,5,0,0.17247539922,0,0.7158208,0.246534128624,0.671082,0.223694,0,131.5, -7.5, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,151.6,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
300,2025-05-08 16:28:25,-22.9872073041654,-42.0124353905558,0,0,0.17247539922,0.17247539922,0.328084,0.9171454,0.41020998688,0.410597126,20,5,0,0.17247539922,0,0.9171454,0.41020998688,0.894776,0.223694,0,134.6, -5.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,155.1,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
400,2025-05-08 16:28:25,-22.9872068681325,-42.0124353277626,0,0,0.17247539922,0.17247539922,0.328084,0.9171454,0.5706693096,0.57107613376,20,5,0,0.17247539922,0,0.9171454,0.5706693096,0.894776,0.223694,0,136.7, -5.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,158.1,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
500,2025-05-08 16:28:26,-22.9872064784751,-42.0124353140736,0,-0.065616799999999,0.23809219922,0.17247539922,0.328084,0.894776,0.71218506216,0.71331695196,20,5,0,0.17247539922,0,0.9171454,0.71218506216,0.894776,0,0,137.9, -6.1, -0.5,0,0,1024,1024,1024,960,0,0,0,-10,160.4,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
600,2025-05-08 16:28:26,-22.9872061453671,-42.012435360825,0,-0.065616799999999,0.23809219922,0.17247539922,0.328084,0.671082,0.83144359616,0.83586288764,20,5,0,0.17247539922,0,0.9171454,0.83144359616,0.671082,0,0,139.6, -6.4, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,162.3,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
700,2025-05-08 16:28:26,-22.9872056775461,-42.0124350779423,0,-0.065616799999999,0.23809219922,0.17247539922,0.328084,0.447388,1.01282155472,1.03121066292,20,5,0,0.17247539922,0,0.9171454,1.01282155472,0.447388,0,0,139.5, -7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,162.7,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
800,2025-05-08 16:28:26,-22.98720538455,-42.0124351250764,0,-0.164042,0.33651739922,0.17247539922,0.328084,0.3131716,1.11616145304,1.13927497084,20,5,0,0.17247539922,0,0.9171454,1.11616145304,0.223694,-0.223694,0,139.9, -6.9, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,162.6,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
900,2025-05-08 16:28:26,-22.9872051867673,-42.012435273834,0,-0.164042,0.33651739922,0.17247539922,0.328084,0.3131716,1.18240489348,1.22704400252,20,5,0,0.17247539922,0,0.9171454,1.18240489348,0.223694,-0.223694,0,139.8, -6.8, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,162.7,0,0,96,4.263,4.262,0,0,0,0,0,79.7,0.17247539922,0,41,Motors_Started,
