time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-11-19 21:35:13,-34.9060829737505,-56.1326727968473,0,0,19.79029918972,19.79029918972,0.328084,0,0,0,19,5,0,19.79029918972,0,0,0,0,0,0,68.6, -5.3, -0.2,0,0,364,364,364,1684,-100,-100,-100,100,78.9,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2023-11-19 21:35:13,-34.9060830298105,-56.1326725750497,0,0,19.79029918972,19.79029918972,0.328084,0,0.069444556028,0.069444556028,19,5,0,19.79029918972,0,0,0.069444556028,0,0,0,68.9, -4.9, 0.2,0,0,364,364,364,1684,-100,-100,-100,100,79.1,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
200,2023-11-19 21:35:13,-34.9060830496563,-56.1326725284206,0,0,19.79029918972,19.79029918972,0.328084,0,0.084956695632,0.085163388552,19,5,0,19.79029918972,0,0,0.084956695632,0,0,0,69.1, -4.5, 0.3,0,0,477,458,364,1581,-83,-86,-100,84,79.3,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
300,2023-11-19 21:35:14,-34.9060830590517,-56.1326724919006,0,0.065616799999999,19.72468238972,19.79029918972,0.328084,0,0.096404858728,0.096615488656,19,5,0,19.79029918972,0,0,0.096404858728,0,0,0,69.5, -4.3, 0.4,0,0,477,458,364,1581,-83,-86,-100,84,79.6,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
400,2023-11-19 21:35:14,-34.9060830636691,-56.1326724751603,0,0.065616799999999,19.72468238972,19.79029918972,0.328084,0,0.101689307716,0.101899937644,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.1, -3.8, 0.6,0,0,1024,1024,969,1024,0,0,-8,0,80.1,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
500,2023-11-19 21:35:14,-34.90608306015,-56.1326724914473,0,0.065616799999999,19.72468238972,19.79029918972,0.328084,0,0.096663060836,0.106939635968,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.4, -2.9, 0.9,0,0,1024,1024,1024,1022,0,0,0,-0,80.6,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
600,2023-11-19 21:35:14,-34.9060829882852,-56.1326725368539,0,0,19.79029918972,19.79029918972,0.328084,0,0.077973099608,0.136470476808,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.3, -2.8, 1.8,0,0,1024,1024,1174,1024,0,0,23,0,80.8,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 24. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2023-11-19 21:35:14,-34.9060830299326,-56.1326725604481,0,0,19.79029918972,19.79029918972,0.328084,0,0.073643046976,0.153225398604,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.2, -1.9, 1.9,0,0,1024,1024,1655,1024,0,0,96,0,80.9,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
800,2023-11-19 21:35:14,-34.9060830795269,-56.1326726025543,0,0,19.79029918972,19.79029918972,0.328084,0,0.069778217456,0.175273627656,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.7, -2.3, 1.8,0,0,1024,1024,1684,1024,0,0,100,0,81,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
900,2023-11-19 21:35:14,-34.9060831346457,-56.132672671073,0,0,19.79029918972,19.79029918972,0.328084,0,0.069729661024,0.203991804428,19,5,0,19.79029918972,0,0,0.101689307716,0,0,0,70.8, -2, 2.4,0,0,1024,1024,1684,1024,0,0,100,0,81.2,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
1000,2023-11-19 21:35:14,-34.9060832633033,-56.1326728548623,0,0,19.79029918972,19.79029918972,0.328084,0,0.107059714712,0.276292987844,19,5,0,19.79029918972,0,0,0.107059714712,0,0,0,71.1, -3.8, 2.3,0,0,1024,1024,1669,1024,0,0,98,0,81.4,0,0,91,4.244,4.236,0,0,0,0,0,97.34,19.79029918972,0,41,Motors_Started,
