time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-10-28 01:53:48,-34.9065699959483,-56.1631484300639,0,0,118.55421179898,118.55421179898,0.328084,0,0,0,18,5,0,118.55421179898,0,0,0,0,0,0,208.2, -7.2, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,219.1,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2022-10-28 01:53:48,-34.9065700739825,-56.1631484475995,0,0,118.55421179898,118.55421179898,0.328084,0,0.0289501649684,0.0289501649684,18,5,0,118.55421179898,0,0,0.0289501649684,0,0,0,207.8, -7.4, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,218.8,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
200,2022-10-28 01:53:48,-34.9065701660458,-56.1631484743096,0,0,118.55421179898,118.55421179898,0.328084,0,0.06345636686,0.063477036152,18,5,0,118.55421179898,0,0,0.06345636686,0,0,0,206.6, -7.6, 2.3,0,0,1024,935,594,1490,0,-13,-65,71,218.1,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
300,2022-10-28 01:53:48,-34.9065702867664,-56.1631485116659,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.108877628156,0.108917982488,18,5,0,118.55421179898,0,0,0.108877628156,0,0,0,205.4, -8, 2.6,0,0,1024,1024,802,1320,0,0,-34,45,217.2,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 65. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-10-28 01:53:48,-34.9065703623995,-56.1631485186938,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.13630413822,0.13659285214,18,5,0,118.55421179898,0,0,0.13630413822,0,0,0,204.9, -7.6, 1.8,0,0,1024,1024,802,1320,0,0,-34,45,216.2,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
500,2022-10-28 01:53:48,-34.9065704276977,-56.1631485451232,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.161241474976,0.161694887064,17,5,0,118.55421179898,0,0,0.161241474976,0,0,0,204.5, -6.8, 1.2,0,0,1024,1024,933,1206,0,0,-14,28,215.6,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
600,2022-10-28 01:53:48,-34.9065704449877,-56.1631485922874,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.170870740376,0.177152564724,17,5,0,118.55421179898,0,0,0.170870740376,0,0,0,204.1, -5.9, 1,0,0,1024,1024,1024,1024,0,0,0,0,215.1,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
700,2022-10-28 01:53:48,-34.9065704673535,-56.1631486579025,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.185009520356,0.198413392176,17,5,0,118.55421179898,0,0,0.185009520356,0,0,0,203.8, -5.3, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,214.7,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
800,2022-10-28 01:53:49,-34.9065704826902,-56.1631486609594,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0,0.190552171452,0.204083339864,17,5,0,118.55421179898,0,0,0.190552171452,0,0,0,204, -5.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,214.4,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
900,2022-10-28 01:53:49,-34.9065703701794,-56.1631486758351,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0.223694,0.155081369792,0.245373367432,17,5,0,118.55421179898,0,0.223694,0.190552171452,-0.223694,0,-0.223694,203.7, -5.1, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,214.3,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
1000,2022-10-28 01:53:49,-34.9065704855717,-56.1631486115832,0,0.032808399999993,118.52140339898,118.55421179898,0.328084,0.447388,0.1867126044,0.291655849228,17,5,0,118.55421179898,0,0.447388,0.190552171452,-0.447388,0,-0.223694,200.5, -6.7, -3.6,0,0,1024,1024,1090,1024,0,0,10,0,212.2,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,41,Motors_Started,
1100,2022-10-28 01:53:49,-34.9065706618793,-56.1631486369249,0,0.065616799999987,118.48859499898,118.55421179898,0.328084,0.447388,0.250724417472,0.35642717676,17,5,0,118.55421179898,0,0.447388,0.250724417472,-0.447388,0,-0.223694,197.3, -9.9, -3,0,0,1024,1024,1614,1024,0,0,89,0,208.7,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,10,Assisted_Takeoff,
1200,2022-10-28 01:53:49,-34.9065707682273,-56.1631486807371,0,0.065616799999987,118.48859499898,118.55421179898,0.328084,0.223694,0.291577437152,0.39738190248,17,5,0,118.55421179898,0,0.447388,0.291577437152,-0.223694,0,-0.223694,193.4, -10.9, 0,0,0,1024,1024,1684,1024,0,0,100,0,205.5,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,10,Assisted_Takeoff,
1300,2022-10-28 01:53:49,-34.9065707221847,-56.1631486252301,0,0.065616799999987,118.48859499898,118.55421179898,0.328084,0,0.271325468,0.42100395048,16,5,0,118.55421179898,0,0.447388,0.291577437152,0,0,0,192.6, -6.5, 1.6,0,0,1024,1024,1684,1024,0,0,100,0,203.9,0,0,82,4.172,4.167,0,0,0,0,0,80.78,118.55421179898,0,10,Assisted_Takeoff,
