time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-03 18:39:08,-34.8657382950676,-55.2576039445988,0,0,444.41204538916,444.41204538916,0.328084,0,0,0,13,4,0,444.41204538916,0,0,0,0.223694,0,0,25, -2.2, 4.8,0,0,364,364,364,1684,-100,-100,-100,100,38.1,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,"En vuelo"
100,2022-09-03 18:39:08,-34.8657381273233,-55.2576037557377,0,0,444.41204538916,444.41204538916,0.328084,0.223694,0.083318900304,0.083318900304,13,4,0,444.41204538916,0,0.223694,0.083318900304,0.223694,0,0,23.9, -3.6, 3.5,0,0,364,364,364,1684,-100,-100,-100,100,36.8,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
200,2022-09-03 18:39:08,-34.8657379047219,-55.2576036286233,0,0,444.41204538916,444.41204538916,0.328084,0.223694,0.170967525156,0.173007223384,13,4,0,444.41204538916,0,0.223694,0.170967525156,0.223694,0,0,22.6, -3.4, 1.9,0,0,364,364,364,1684,-100,-100,-100,100,35.5,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
300,2022-09-03 18:39:08,-34.8657377795084,-55.2576034642897,0,-0.06561679999994,444.47766218916,444.41204538916,0.328084,0.223694,0.236761490516,0.240142396136,13,4,0,444.41204538916,0,0.223694,0.236761490516,0.223694,0,0,21.3, -3.7, 1.9,0,0,463,467,364,1636,-85,-84,-100,93,34,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 50. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-09-03 18:39:08,-34.8657376614893,-55.2576033293027,0,-0.06561679999994,444.47766218916,444.41204538916,0.328084,0,0.295571203684,0.299193251044,13,4,0,444.41204538916,0,0.223694,0.295571203684,0,0,0,19.7, -3.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,32.4,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
500,2022-09-03 18:39:08,-34.8657375292292,-55.2576032130228,0,-0.06561679999994,444.47766218916,444.41204538916,0.328084,0,0.35501313472,0.3586942372,13,4,0,444.41204538916,0,0.223694,0.35501313472,0,0,0,17.1, -2.2, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,30.4,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
600,2022-09-03 18:39:09,-34.8657374265944,-55.2576032689988,0,-0.13123359999997,444.54327898916,444.41204538916,0.328084,0.223694,0.37590552384,0.39971786056,13,4,0,444.41204538916,0,0.223694,0.37590552384,0.223694,0,0,15.3, -2.5, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,27.9,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
700,2022-09-03 18:39:09,-34.8657373790622,-55.2576032605148,0,-0.13123359999997,444.54327898916,444.41204538916,0.328084,0,0.39195539312,0.41724410784,13,4,0,444.41204538916,0,0.223694,0.39195539312,0,0,0,13.3, -1.8, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,25.5,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
800,2022-09-03 18:39:09,-34.8657373857384,-55.2576032436733,0,-0.13123359999997,444.54327898916,444.41204538916,0.328084,0,0.392552506,0.42284450172,13,4,0,444.41204538916,0,0.223694,0.392552506,0,0,0,11, -0.2, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,23.7,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
900,2022-09-03 18:39:09,-34.8657374487409,-55.2576032270021,0,-0.13123359999997,444.54327898916,444.41204538916,0.328084,0,0.37615486768,0.44636484368,13,4,0,444.41204538916,0,0.223694,0.392552506,0,0,0,8.6, 1.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,21.2,0,0,84,4.158,4.155,0,0,0,0,0,73.22,444.41204538916,0,41,Motors_Started,
