time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-06 17:46:08,-34.911626743659,-55.0437292672459,0,0,33.169112938052,33.169112938052,0,0,0,0,17,5,0,33.169112938052,0,0,0,0,0,0,39.6, -8.4, 1.3,0,0,364,364,364,1684,-100,-100,-100,100,51.1,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,"En vuelo"
100,2022-09-06 17:46:08,-34.911626794402,-55.0437292732869,0,0,33.169112938052,33.169112938052,0,0,0.0186015753984,0.0186015753984,17,5,0,33.169112938052,0,0,0.0186015753984,0,0,0,39.8, -8.4, 1.1,0,0,364,364,364,1684,-100,-100,-100,100,51.2,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
200,2022-09-06 17:46:09,-34.9116268542549,-55.0437292578501,0,0,33.169112938052,33.169112938052,0.328084,0,0.040448820192,0.04092191732,17,5,0,33.169112938052,0,0,0.040448820192,0,0,0,39.5, -7.5, 1.7,0,0,364,364,364,1684,-100,-100,-100,100,51.2,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
300,2022-09-06 17:46:09,-34.9116268875711,-55.0437292591553,0,0,33.169112938052,33.169112938052,0.328084,0,0.052562009556,0.053083663116,17,5,0,33.169112938052,0,0,0.052562009556,0,0,0,39.8, -7.7, 1.2,0,0,364,364,364,1684,-100,-100,-100,100,51.2,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
400,2022-09-06 17:46:09,-34.91162680781,-55.0437291707866,0,0,33.169112938052,33.169112938052,0.328084,0,0.037157809588,0.092401249676,17,5,0,33.169112938052,0,0,0.052562009556,0,0,0,39.5, -7.7, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,51.1,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
500,2022-09-06 17:46:09,-34.9116268297448,-55.0437291738554,0,0,33.169112938052,33.169112938052,0.328084,0,0.042038059088,0.100456696128,17,5,0,33.169112938052,0,0,0.052562009556,0,0,0,39, -7.5, 2.4,0,0,1024,1024,566,1555,0,0,-69,80,51,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 60. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2022-09-06 17:46:09,-34.9116268403128,-55.0437291592047,0,0,33.169112938052,33.169112938052,0.328084,0,0.047837599956,0.106294622824,17,5,0,33.169112938052,0,0,0.052562009556,0,0,0,38.7, -7.7, 2,0,0,1024,1024,1024,1024,0,0,0,0,50.6,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
700,2022-09-06 17:46:09,-34.9116268441303,-55.0437290849115,0,0,33.169112938052,33.169112938052,0.328084,0,0.065724411552,0.128565948996,17,5,0,33.169112938052,0,0,0.065724411552,0,0,0,37.9, -7.4, 2.3,0,0,1024,1024,1361,1024,0,0,51,0,50.2,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
800,2022-09-06 17:46:09,-34.9116267731359,-55.0437285819689,0,0,33.169112938052,33.169112938052,0.328084,0,0.205309717856,0.281254274092,17,5,0,33.169112938052,0,0,0.205309717856,0,0,0,38, -7, 2.1,0,0,1024,1024,1684,1024,0,0,100,0,49.6,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
900,2022-09-06 17:46:09,-34.9116267731088,-55.0437284799883,0,0.098425200000004,33.070687738052,33.169112938052,0.328084,0,0.23578412828,0.311765758008,17,5,0,33.169112938052,0,0,0.23578412828,0,0,0,38, -7, 1.7,0,0,1024,1024,1684,1024,0,0,100,0,49.6,0,0,21,3.757,3.754,0,0,0,0,0,95,33.169112938052,0,41,Motors_Started,
1000,2022-09-06 17:46:09,-34.9116268014488,-55.043728393169,-0.328084,-0.2296588,33.070687738052,32.841028938052,0.328084,0,0.262363197372,0.33972442032,17,5,0,33.169112938052,0,0,0.262363197372,0,0,0,37.6, -6.5, 1.4,0,0,1024,1024,1565,1024,0,0,82,0,49.5,0,0,21,3.757,3.754,0,0,0,0,0,95,32.841028938052,-0.328084,41,Motors_Started,
