time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-10-21 19:10:06,-34.9540224397604,-54.9407334542134,0,0,16.504038585872,16.504038585872,0,0,0,0,25,5,0,16.504038585872,0,0,0,0,0,0,253.7, 0.5, 5.7,0,0,364,364,364,1684,-100,-100,-100,100,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
100,2022-10-21 19:10:06,-34.9540224437271,-54.940733453093,0,0,16.504038585872,16.504038585872,0,0,0.0014855151394,0.0014855151394,25,5,0,16.504038585872,0,0,0.0014855151394,0,0,0,253.7, 0.5, 5.6,0,0,364,364,364,1684,-100,-100,-100,100,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
200,2022-10-21 19:10:06,-34.9540224471834,-54.9407334602667,0,0,16.504038585872,16.504038585872,0,0,0.00325753291264,0.00397391745,25,5,0,16.504038585872,0,0,0.00325753291264,0,0,0,253.7, 0.6, 5.6,0,0,1024,813,892,1087,0,-32,-20,10,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,"En vuelo. Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 15. Setting new Maximum Flight Altitude to 120m (394 ft)"
300,2022-10-21 19:10:07,-34.9540224542856,-54.9407335230255,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.021248688344,0.0229189967964,25,5,0,16.504038585872,0,0,0.021248688344,0,0,0,253.7, 0.5, 5.6,0,0,1024,813,892,1087,0,-32,-20,10,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
400,2022-10-21 19:10:07,-34.9540224447073,-54.9407335598013,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.0316260180724,0.034458006352,25,5,0,16.504038585872,0,0,0.0316260180724,0,0,0,253.6, 0.5, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
500,2022-10-21 19:10:07,-34.9540223924074,-54.9407336113347,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.050060369056,0.058985238108,25,5,0,16.504038585872,0,0,0.050060369056,0,0,0,253.7, 0.5, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
600,2022-10-21 19:10:07,-34.9540223475166,-54.9407336610638,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.070418637424,0.081107614144,25,5,0,16.504038585872,0,0,0.070418637424,0,0,0,253.7, 0.5, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
700,2022-10-21 19:10:07,-34.9540222518874,-54.9407338210895,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.12936188078,0.1403297289,25,5,0,16.504038585872,0,0,0.12936188078,0,0,0,253.7, 0.5, 5.7,0,0,1024,1024,1326,1024,0,0,46,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
800,2022-10-21 19:10:07,-34.9540222385932,-54.9407338708317,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.144595805152,0.155975070608,26,5,0,16.504038585872,0,0,0.144595805152,0,0,0,253.6, 0.5, 5.7,0,0,1024,1024,1258,1024,0,0,35,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
900,2022-10-21 19:10:07,-34.9540222374577,-54.940733920434,0,0.032808400000002,16.471230185872,16.504038585872,0,0,0.15774934888,0.17081365376,26,5,0,16.504038585872,0,0,0.15774934888,0,0,0,253.6, 0.5, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,265,0,0,95,4.284,4.278,0,0,0,0,0,76.64,16.504038585872,0,41,Motors_Started,
