time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
87700,2022-08-11 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.6,0,0,56,3.865,3.86,0,0,0,0,0,86.72,3.28084E-5,0,41,Motors_Started,"Sin tarjeta SD. Inserta una tarjeta (Code: 10022)"
87800,2022-08-11 15:37:08,0,0,0.328084,,,0.3281168084,0.328084,0,0,0,0,0,0,0.3281168084,0.328084,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.3281168084,0.328084,41,Motors_Started,
87900,2022-08-11 15:37:08,0,0,0.328084,,,0.3281168084,0.328084,0,0,0,0,0,0,0.3281168084,0.328084,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.3281168084,0.328084,41,Motors_Started,
88000,2022-08-11 15:37:08,0,0,0.328084,,,0.3281168084,0.328084,0,0,0,0,0,0,0.3281168084,0.328084,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.3281168084,0.328084,41,Motors_Started,
88100,2022-08-11 15:37:08,0,0,0.656168,,,0.6562008084,0.328084,0,0,0,0,0,0,0.6562008084,0.656168,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.6562008084,0.656168,41,Motors_Started,
88200,2022-08-11 15:37:09,0,0,0.656168,,,0.6562008084,0.328084,0,0,0,0,0,0,0.6562008084,0.656168,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.6562008084,0.656168,41,Motors_Started,
88300,2022-08-11 15:37:09,0,0,0.984252,,,0.9842848084,0.328084,0,0,0,0,0,0,0.9842848084,0.984252,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.9842848084,0.984252,41,Motors_Started,
88400,2022-08-11 15:37:09,0,0,0.984252,,,0.9842848084,0.328084,0,0,0,0,0,0,0.9842848084,0.984252,0,0,0,0,0,225.7, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.9842848084,0.984252,41,Motors_Started,
88500,2022-08-11 15:37:09,0,0,0.984252,,,0.9842848084,0.328084,0,0,0,0,0,0,0.9842848084,0.984252,0,0,0,0,0,225.8, 2.9, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,0.9842848084,0.984252,41,Motors_Started,
88600,2022-08-11 15:37:09,0,0,1.312336,,,1.3123688084,0.328084,0,0,0,0,0,0,1.3123688084,1.312336,0,0,0,0,0,225.7, 2.9, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,233.5,0,0,56,3.865,3.86,0,0,0,0,0,86.72,1.3123688084,1.312336,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 30m (98 ft)"
