time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
671300,2022-08-12 04:57:28,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,8.2,0,0,57,3.923,3.919,0,0,0,0,0,108.32,3.28084E-5,0,41,Motors_Started,"Baja velocidad de la tarjeta SD. Puede afectar a su uso normal. Sustituye la tarjeta SD (Code: 10028)"
671400,2022-08-12 04:57:28,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
671500,2022-08-12 04:57:28,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
671600,2022-08-12 04:57:28,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
671700,2022-08-12 04:57:28,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,539,939,516,1024,-73,-13,-77,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
671800,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
671900,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,"Setting new Return-To-Home altitude to 40m (131 ft). Data Recorder File Index is 39. Setting new Maximum Flight Altitude to 30m (98 ft)"
672000,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
672100,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
672200,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
672300,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3.1, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,41,Motors_Started,
672400,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.841,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1102,1024,0,0,12,0,8.2,0,0,57,3.923,3.919,0,0,0,0,0.559,108.32,3.28084E-5,0,10,Assisted_Takeoff,
672500,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.822,3.28084E-5,0,0,0,0,0,0,5.5, 3, -0.4,0,0,1024,1024,1381,1024,0,0,54,0,8.2,0,0,57,3.913,3.908,0,0,0,0,1.094,108.32,3.28084E-5,0,10,Assisted_Takeoff,
672600,2022-08-12 04:57:29,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,7.822,3.28084E-5,0,0,0,0,0,0,5.6, 3, -0.4,0,0,1024,1024,1381,1024,0,0,54,0,8.2,0,0,57,3.913,3.908,0,0,0,0,1.094,108.32,3.28084E-5,0,10,Assisted_Takeoff,
