time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
76700,2022-08-15 23:29:20,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,"En vuelo"
76800,2022-08-15 23:29:20,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,"Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 72. Setting new Maximum Flight Altitude to 30m (98 ft)"
76900,2022-08-15 23:29:20,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77000,2022-08-15 23:29:20,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77100,2022-08-15 23:29:20,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77200,2022-08-15 23:29:21,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,1024,1024,984,1057,0,0,-6,5,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77300,2022-08-15 23:29:21,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,1024,1024,984,1057,0,0,-6,5,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77400,2022-08-15 23:29:21,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77500,2022-08-15 23:29:21,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
77600,2022-08-15 23:29:21,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,187.1, 2.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,183.8,0,0,93,4.273,4.267,0,0,0,0,0,79.52,3.28084E-5,0,41,Motors_Started,
