time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-08-23 21:37:40,-34.9048830160748,-56.163270900703,0,0,132.76841500974,132.76841500974,0.328084,0,0,0,15,5,0,132.76841500974,0,0,0,0,0,0,311.6, 2.1, -2.9,0,0,364,364,364,1684,-100,-100,-100,100,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,"En vuelo Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001)"
100,2022-08-23 21:37:40,-34.9048826748148,-56.1632708424577,0,0,132.76841500974,132.76841500974,0.328084,0,0.125722444968,0.125722444968,15,5,0,132.76841500974,0,0,0.125722444968,0,0,0,311.6, 2.1, -2.8,0,0,364,364,364,1684,-100,-100,-100,100,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
200,2022-08-23 21:37:40,-34.9048809400692,-56.1632702360696,0,-0.1312336,132.89964860974,132.76841500974,0.328084,0,0.78310041876,0.7841371642,15,5,0,132.76841500974,0,0,0.78310041876,0,0,0,311.6, 2.2, -2.9,0,0,364,364,364,1684,-100,-100,-100,100,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
300,2022-08-23 21:37:40,-34.9048806106708,-56.1632701766932,0,-0.1312336,132.89964860974,132.76841500974,0.328084,0,0.903953441,0.90562338856,15,5,0,132.76841500974,0,0,0.903953441,0,0,0,311.6, 2.2, -2.9,0,0,364,364,364,1684,-100,-100,-100,100,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
400,2022-08-23 21:37:40,-34.9048803552364,-56.1632701286262,0,-0.2296588,132.99807380974,132.76841500974,0.328084,0,0.99791341776,0.99992129184,15,5,0,132.76841500974,0,0,0.99791341776,0,0,0,311.6, 2.1, -2.9,0,0,364,364,364,1684,-100,-100,-100,100,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
500,2022-08-23 21:37:40,-34.9048801259514,-56.1632700883535,0,-0.2296588,132.99807380974,132.76841500974,0.328084,0,1.08211289552,1.08443901108,15,5,0,132.76841500974,0,0,1.08211289552,0,0,0,311.6, 2.1, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
600,2022-08-23 21:37:40,-34.9048795507752,-56.1632698494836,0,-0.2296588,132.99807380974,132.76841500974,0.328084,0,1.30285109156,1.30612865072,15,5,0,132.76841500974,0,0,1.30285109156,0,0,0,311.6, 2.1, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
700,2022-08-23 21:37:40,-34.9048793884161,-56.1632698872742,0,-0.328084,133.09649900974,132.76841500974,0.328084,0,1.3578412508,1.3664370516,15,5,0,132.76841500974,0,0,1.3578412508,0,0,0,311.6, 2.1, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 98. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2022-08-23 21:37:40,-34.9048792480866,-56.1632699106749,0,-0.328084,133.09649900974,132.76841500974,0.328084,0,1.40630253844,1.4181102816,15,5,0,132.76841500974,0,0,1.40630253844,0,0,0,311.7, 2.2, -2.9,0,0,1024,1024,1504,1024,0,0,73,0,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
900,2022-08-23 21:37:41,-34.9048791078026,-56.1632699253148,0,-0.328084,133.09649900974,132.76841500974,0.328084,0,1.45549217256,1.46948167432,15,5,0,132.76841500974,0,0,1.45549217256,0,0,0,311.7, 2.2, -2.9,0,0,1024,1024,1684,1024,0,0,100,0,322.3,0,0,99,4.334,4.333,0,0,0,0,0,77.18,132.76841500974,0,41,Motors_Started,
