time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
222400,2022-08-23 22:11:57,-34.9051392610768,-56.1629084152053,0,0,132.84954591785,133.11201311785,0,0,0,0,14,4,0,133.11201311785,0,0,0,0,0,0,113.8, 4.4, 2.2,0,0,364,364,364,1684,-100,-100,-100,100,123.6,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). El motor no puede girar. Comprueba su estado (Code: 30142)"
222500,2022-08-23 22:11:57,-34.9051394443883,-56.1629079867432,0,0,132.84954591785,133.11201311785,0,0,0.144598429824,0.144598429824,13,4,0,133.11201311785,0,0,0.144598429824,0,0,0,113.8, 4.4, 2.3,0,0,364,364,364,1684,-100,-100,-100,100,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 99. Setting new Maximum Flight Altitude to 120m (394 ft)"
222600,2022-08-23 22:11:57,-34.9051394192435,-56.1629076565305,0,0,132.84954591785,133.11201311785,0.328084,0,10.523950468,0.243827435624,13,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.4, 2.2,0,0,364,364,364,1684,-100,-100,-100,100,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
222700,2022-08-23 22:11:58,-34.9051386834441,-56.1629063262151,0,0,132.84954591785,133.11201311785,0.328084,0,10.0684714508,0.72394359272,14,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.4, 2.2,0,0,364,364,364,1684,-100,-100,-100,100,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
222800,2022-08-23 22:11:58,-34.9051387100383,-56.1629066188333,0,0,132.84954591785,133.11201311785,0.328084,0,10.155512136,0.81203414672,14,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.5, 2.3,0,0,364,364,364,1684,-100,-100,-100,100,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
222900,2022-08-23 22:11:58,-34.9051387590389,-56.1629070085503,0,0,132.84954591785,133.11201311785,0.328084,0,10.2727693576,0.93000659144,14,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.5, 2.3,0,0,364,364,364,1684,-100,-100,-100,100,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
223000,2022-08-23 22:11:58,-34.9051389051771,-56.1629070880264,0,0,132.84954591785,133.11201311785,0.328084,0,10.3096459992,0.9883858584,14,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.5, 2.3,0,0,1024,1024,1024,1079,0,0,0,8,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
223100,2022-08-23 22:11:58,-34.9051390755279,-56.1629071126455,0,0,132.84954591785,133.11201311785,0.328084,0,10.3332680472,1.05097444308,13,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.5, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
223200,2022-08-23 22:11:58,-34.9051392117203,-56.162907413891,0,0,132.84954591785,133.11201311785,0.328084,0,10.4334320924,1.15389767472,13,4,0,133.11201311785,0,0,10.523950468,0,0,0,113.9, 4.4, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,123.5,-1.3,0,25,3.742,3.737,0,0,0,0,0,94.82,133.11201311785,0,41,Motors_Started,
223300,2022-08-23 22:11:58,-34.9051393834227,-56.1629071523647,0,0,132.84954591785,133.11201311785,0.328084,0,10.3753940328,1.25413717924,14,4,7.481,133.11201311785,0,0,10.523950468,0,0,0,114, 4.4, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,123.5,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,41,Motors_Started,
223400,2022-08-23 22:11:58,-34.9051394540173,-56.1629072105462,0,0,132.84954591785,133.11201311785,0.328084,0,10.399278548,1.28522641908,14,4,7.481,133.11201311785,0,0,10.523950468,0,0,0,114.1, 4.5, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,123.6,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,41,Motors_Started,
223500,2022-08-23 22:11:58,-34.9051395145319,-56.1629073185026,0,0,132.84954591785,133.11201311785,0.328084,0,10.4364832736,1.32435371692,14,4,7.481,133.11201311785,0,0,10.523950468,0,0,0,114, 4.4, 2.3,0,0,1024,1024,1112,1024,0,0,13,0,123.6,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,"En vuelo"
223600,2022-08-23 22:11:58,-34.9051393854126,-56.1629078940056,0,0,132.84954591785,133.11201311785,0.328084,0,10.5889111,1.50287734468,14,4,7.481,133.11201311785,0,0,10.5889111,0,0,0,114.1, 4.4, 2.3,0,0,1024,1024,1684,1024,0,0,100,0,123.7,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
223700,2022-08-23 22:11:59,-34.9051394584841,-56.1629079984391,0,0,132.84954591785,133.11201311785,0.328084,0,10.6262470592,1.54395346148,14,4,7.481,133.11201311785,0,0,10.6262470592,0,0,0,114.2, 4.4, 2.3,0,0,1024,1024,1684,1024,0,0,100,0,123.7,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
223800,2022-08-23 22:11:59,-34.9051396261642,-56.1629080854704,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0,10.6682090028,1.61044296492,14,4,7.481,133.11201311785,0,0,10.6682090028,0,0,0,114.2, 4.4, 2.3,0,0,1024,1024,1679,1024,0,0,99,0,123.7,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
223900,2022-08-23 22:11:59,-34.9051398174388,-56.1629081709336,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0,10.7123691092,1.68476711428,14,4,7.481,133.11201311785,0,0,10.7123691092,0,0,0,114.2, 4.4, 2.3,0,0,1024,1024,1386,1024,0,0,55,0,123.8,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
224000,2022-08-23 22:11:59,-34.9051398385068,-56.1629089788231,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0,10.9464898516,1.92662079656,14,4,7.481,133.11201311785,0,0,10.9464898516,0,0,0,114.2, 4.5, 2.3,0,0,1024,1024,1417,1024,0,0,60,0,123.8,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
224100,2022-08-23 22:11:59,-34.90513987483,-56.162909339168,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0,11.0537405112,2.0352526898,14,4,7.481,133.11201311785,0,0,11.0537405112,0,0,0,114.9, 4.4, 2.3,0,0,1024,1024,1684,1024,0,0,100,0,124,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
224200,2022-08-23 22:11:59,-34.9051399078875,-56.1629097143818,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0.223694,11.1649937956,2.14816607924,14,4,7.481,133.11201311785,0,0.223694,11.1649937956,0,-0.223694,0,115.6, 3.1, 2.3,0,0,1024,1024,1684,1024,0,0,100,0,124.7,-1.3,0,25,3.734,3.729,0,0,0,0,0.64,94.82,133.11201311785,0,10,Assisted_Takeoff,
224300,2022-08-23 22:11:59,-34.9051399577919,-56.1629101523316,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0.223694,11.2959977368,2.28046595224,14,4,7.454,133.11201311785,0,0.223694,11.2959977368,0,-0.223694,0,116.2, 1.4, 1.2,0,0,1024,1024,1684,1024,0,0,100,0,125.4,-1.3,0,25,3.733,3.729,0,0,0,0,1.492,94.82,133.11201311785,0,10,Assisted_Takeoff,
224400,2022-08-23 22:11:59,-34.9051400874332,-56.1629106396921,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0.447388,11.4491801564,2.43376976292,14,4,7.454,133.11201311785,0,0.447388,11.4491801564,0,-0.447388,-0.223694,116.1, 0.8, -0.2,0,0,1024,1024,1684,1024,0,0,100,0,125.8,-1.3,0,25,3.733,3.729,0,0,0,0,1.492,94.82,133.11201311785,0,6,P-GPS,
224500,2022-08-23 22:11:59,-34.905140262267,-56.1629110170786,0,0.032808400000017,132.81673751785,133.11201311785,0.328084,0.447388,11.5753284544,2.56346136812,14,4,7.454,133.11201311785,0,0.447388,11.5753284544,0,-0.447388,-0.671082,116, 0, -1.1,0,0,1024,1024,1646,1024,0,0,94,0,125.8,-1.3,0,25,3.733,3.729,0,0,0,0,1.492,94.82,133.11201311785,0,6,P-GPS,
224600,2022-08-23 22:12:00,-34.9051403676233,-56.1629112171381,0,0.032808400000017,132.81673751785,133.11201311785,0.656168,0.447388,11.6435043096,2.63459982184,14,4,7.454,133.11201311785,0,0.447388,11.6435043096,0,-0.447388,-0.894776,116.1, -2, -1,0,0,1024,1024,1239,1024,0,0,33,0,125.8,-1.3,0,25,3.733,3.729,0,0,0,0,1.492,94.82,133.11201311785,0,6,P-GPS,
224700,2022-08-23 22:12:00,-34.9051404706321,-56.1629113467639,0.328084,0.36089240000002,132.81673751785,133.44009711785,0.656168,0.223694,11.6912405316,2.68860900992,14,4,7.454,133.44009711785,0.328084,0.447388,11.6912405316,0,-0.223694,-1.342164,116.1, -1.5, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,125.8,-1.3,0,25,3.733,3.729,0,0,0,0,1.492,94.82,133.44009711785,0.328084,6,P-GPS,
