time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
700900,2023-12-27 01:08:33,-34.9551232796221,-54.934564690586,0,0,51.43402231518,50.58100391518,0.328084,0,0,0,19,5,0,50.58100391518,0,0,0,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,6,P-GPS,
701000,2023-12-27 01:08:33,-34.9551232814003,-54.9345646934369,0,0,51.43402231518,50.58100391518,0.328084,0,0.00107132221276,0.00107132221276,19,5,0,50.58100391518,0,0,0.00107132221276,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
701100,2023-12-27 01:08:33,-34.9551232773732,-54.9345647362927,0,0,51.43402231518,50.58100391518,0.328084,0,0.0136923232728,0.013970472888,19,5,0,50.58100391518,0,0,0.0136923232728,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701200,2023-12-27 01:08:33,-34.9551231836432,-54.9345647893345,0,0,51.43402231518,50.58100391518,0.328084,0,0.045806103828,0.051666996404,19,5,0,50.58100391518,0,0,0.045806103828,0,0,0,247.9, 2.2, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 28. Setting new Maximum Flight Altitude to 120m (394 ft)"
701300,2023-12-27 01:08:33,-34.9551232273311,-54.9345648009187,0,0,51.43402231518,50.58100391518,0.328084,0,2.35384521968,0.067978676716,19,5,0,50.58100391518,0,0,2.35384521968,0,0,0,247.9, 2.2, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701400,2023-12-27 01:08:34,-34.9551232749436,-54.9345648110342,0,0,51.43402231518,50.58100391518,0.328084,0,2.33729994356,0.085611551296,19,5,0,50.58100391518,0,0,2.35384521968,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701500,2023-12-27 01:08:34,-34.95512329029,-54.934564806665,0,0,51.43402231518,50.58100391518,0.328084,0,2.33155847356,0.091360895312,19,5,0,50.58100391518,0,0,2.35384521968,0,0,0,247.9, 2.3, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701600,2023-12-27 01:08:34,-34.9551233296967,-54.9345647510152,0,0,51.43402231518,50.58100391518,0.328084,0,2.31444561212,0.113352693916,19,5,0,50.58100391518,0,0,2.35384521968,0,0,0,247.9, 2.2, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701700,2023-12-27 01:08:34,-34.9551232759434,-54.9345647928414,0,0,51.43402231518,50.58100391518,0.328084,0,2.33596136084,0.136613193348,19,5,0,50.58100391518,0,0,2.35384521968,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701800,2023-12-27 01:08:34,-34.9551232198028,-54.934564838373,0,0,51.43402231518,50.58100391518,0.328084,0,2.35857291012,0.161208666576,19,5,0,50.58100391518,0,0,2.35857291012,0,0,0,247.9, 2.2, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
701900,2023-12-27 01:08:34,-34.9551232406306,-54.9345648510077,0,0,51.43402231518,50.58100391518,0.328084,0,2.35179797552,0.16969488732,19,5,0,50.58100391518,0,0,2.35857291012,0,0,0,247.9, 2.3, 0.8,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
702000,2023-12-27 01:08:34,-34.9551232212261,-54.9345648887782,0,0,51.43402231518,50.58100391518,0.328084,0,2.36086949812,0.18302494024,20,5,0,50.58100391518,0,0,2.36086949812,0,0,0,247.9, 2.2, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,41,Motors_Started,
702100,2023-12-27 01:08:34,-34.955123183622,-54.9345648860631,0,0,51.43402231518,50.58100391518,0.328084,0,2.37418970852,0.196768707084,20,5,0,50.58100391518,0,0,2.37418970852,0,0,0,247.9, 2.3, 0.7,0,0,364,364,364,1684,-100,-100,-100,100,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,10,Assisted_Takeoff,
702200,2023-12-27 01:08:34,-34.9551231407907,-54.9345648837244,0,0,51.43402231518,50.58100391518,0.328084,0,2.38940952528,0.21241142412,20,5,0,50.58100391518,0,0,2.38940952528,0,0,0,247.9, 2.3, 0.8,0,0,1024,876,1024,1116,0,-22,0,14,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,10,Assisted_Takeoff,
702300,2023-12-27 01:08:34,-34.9551231224658,-54.9345648766871,0,0,51.43402231518,50.58100391518,0.328084,0,2.395587347,0.219420610696,20,5,0,50.58100391518,0,0,2.395587347,0,0,0,247.9, 2.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,10,Assisted_Takeoff,
702400,2023-12-27 01:08:35,-34.9551230292977,-54.9345648017784,0,0,51.43402231518,50.58100391518,0.328084,0,2.42501320096,0.260129929584,20,5,0,50.58100391518,0,0,2.42501320096,0,0,0,247.9, 2.3, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.884,3.881,0,0,0,0,0,109.04,50.58100391518,0,10,Assisted_Takeoff,
702500,2023-12-27 01:08:35,-34.9551230233441,-54.9345648398286,0,0,51.43402231518,50.58100391518,0.328084,0,2.4291503402,0.271713591372,20,5,7.784,50.58100391518,0,0,2.4291503402,0,0,0,247.9, 2.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
702600,2023-12-27 01:08:35,-34.9551230172228,-54.9345648829091,0,0,51.43402231518,50.58100391518,0.328084,0,2.43367133772,0.284788066856,20,5,7.784,50.58100391518,0,0,2.43367133772,0,0,0,247.9, 2.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
702700,2023-12-27 01:08:35,-34.9551230174784,-54.9345648968084,0,0,51.43402231518,50.58100391518,0.328084,0,2.43434390992,0.288945547304,20,5,7.784,50.58100391518,0,0,2.43434390992,0,0,0,247.9, 2.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
702800,2023-12-27 01:08:35,-34.955123016985,-54.934564908923,0,0,51.43402231518,50.58100391518,0.328084,0,2.43519364748,0.292572515924,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.3, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
702900,2023-12-27 01:08:35,-34.9551230562419,-54.9345649593622,0,0,51.43402231518,50.58100391518,0.328084,0,2.42398957888,0.31337271344,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.3, 0.8,0,0,1024,1024,1062,1024,0,0,6,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703000,2023-12-27 01:08:35,-34.9551230564487,-54.9345649576532,0,0,51.43402231518,50.58100391518,0.328084,0,2.42381569436,0.313889117656,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.2, 0.8,0,0,1024,1024,1062,1024,0,0,6,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703100,2023-12-27 01:08:35,-34.9551230573965,-54.9345649541698,0,0,51.43402231518,50.58100391518,0.328084,0,2.42327435576,0.314986558636,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.2, 0.7,0,0,1024,1024,1473,1024,0,0,68,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703200,2023-12-27 01:08:35,-34.9551230582319,-54.9345649514077,0,0,51.43402231518,50.58100391518,0.328084,0,2.422818319,0.315867136092,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.1, 0.7,0,0,1024,1024,1600,1024,0,0,87,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703300,2023-12-27 01:08:36,-34.9551231124525,-54.9345650053328,0,0,51.43402231518,50.58100391518,0.328084,0,2.40658144184,0.3413878062,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.2, 0.7,0,0,1024,1024,1600,1024,0,0,87,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703400,2023-12-27 01:08:36,-34.9551231160856,-54.9345650532163,0,0,51.43402231518,50.58100391518,0.328084,0,2.40819233428,0.35576772792,20,5,7.784,50.58100391518,0,0,2.43519364748,0,0,0,247.9, 2.2, 0.7,0,0,1024,1024,1459,1024,0,0,66,0,257.3,0,0,49,3.885,3.882,0,0,0,0,0.599,109.04,50.58100391518,0,10,Assisted_Takeoff,
703500,2023-12-27 01:08:36,-34.95512311739,-54.9345650703011,0,0,51.43402231518,50.58100391518,0.328084,0,2.40878616632,0.36089896168,20,5,7.759,50.58100391518,0,0,2.43519364748,0,0,0,247.8, 2.3, 0.7,0,0,1024,1024,1407,1024,0,0,58,0,257.3,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.58100391518,0,10,Assisted_Takeoff,
703600,2023-12-27 01:08:36,-34.9551231142275,-54.9345650868372,0,0,51.43402231518,50.58100391518,0.328084,0,2.41094823988,0.365977702,20,5,7.759,50.58100391518,0,0,2.43519364748,0,0,0,246.9, 1.5, 0.7,0,0,1024,1024,1396,1024,0,0,56,0,257,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.58100391518,0,10,Assisted_Takeoff,
703700,2023-12-27 01:08:36,-34.955123096883,-54.9345650553617,0,0,51.43402231518,50.58100391518,0.328084,0,2.41518052348,0.37731956588,20,5,7.759,50.58100391518,0,0,2.43519364748,0,0,0,245.5, -2.4, 0.7,0,0,1024,1024,1320,1024,0,0,45,0,255.7,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.58100391518,0,10,Assisted_Takeoff,
703800,2023-12-27 01:08:36,-34.9551230898579,-54.9345650887213,0,0,51.43402231518,50.58100391518,0.328084,0,2.41975729528,0.38761812264,20,5,7.759,50.58100391518,0,0,2.43519364748,0,0,-0.223694,244.5, -2.6, 0.1,0,0,1024,1024,1318,1024,0,0,45,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.58100391518,0,6,P-GPS,
703900,2023-12-27 01:08:36,-34.9551230974643,-54.9345651979564,0,0,51.43402231518,50.58100391518,0.328084,0,2.42410440828,0.42040027592,20,5,7.759,50.58100391518,0,0,2.43519364748,0,0,-0.671082,244.9, -1, 0,0,0,1024,1024,1318,1024,0,0,45,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.58100391518,0,6,P-GPS,
704000,2023-12-27 01:08:36,-34.9551231148675,-54.9345653395895,0.328084,0.328084,51.43402231518,50.90908791518,0.656168,0,2.42771333228,0.46322836128,21,5,7.759,50.90908791518,0.328084,0,2.43519364748,0,0,-0.894776,244.9, 0.4, -0.4,0,0,1024,1024,1329,1024,0,0,46,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.90908791518,0.328084,6,P-GPS,
704100,2023-12-27 01:08:36,-34.9551230276953,-54.9345654703623,0.328084,0.328084,51.43402231518,50.90908791518,0.656168,0,2.46814640444,0.5136319062,21,5,7.759,50.90908791518,0.328084,0,2.46814640444,0,0,-1.11847,245, 1.1, -0.1,0,0,1024,1024,1331,1024,0,0,47,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.90908791518,0.328084,6,P-GPS,
704200,2023-12-27 01:08:36,-34.9551230125556,-54.9345655601791,0.328084,0.328084,51.43402231518,50.90908791518,0.656168,0,2.48037081428,0.54105316692,21,5,7.759,50.90908791518,0.328084,0,2.48037081428,0,0,-1.342164,245, 1.1, 0,0,0,1024,1024,1337,1024,0,0,47,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,50.90908791518,0.328084,6,P-GPS,
704300,2023-12-27 01:08:37,-34.9551230273126,-54.9345656030401,0.656168,0.656168,51.43402231518,51.23717191518,0.984252,0,2.4785597906,0.554954086,21,5,7.759,51.23717191518,0.656168,0,2.48037081428,0,0,-1.565858,245, 0.7, 0,0,0,1024,1024,1345,1024,0,0,49,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,51.23717191518,0.656168,6,P-GPS,
704400,2023-12-27 01:08:37,-34.9551230458785,-54.9345656405154,0.984252,0.984252,51.43402231518,51.56525591518,1.312336,0,2.4750492918,0.56804791844,21,5,7.759,51.56525591518,0.984252,0,2.48037081428,0,0,-1.789552,245, 0.8, 0,0,0,1024,1024,1344,1024,0,0,48,0,254.6,0,0,49,3.878,3.873,0,0,0,0,1.572,109.04,51.56525591518,0.984252,6,P-GPS,
704500,2023-12-27 01:08:37,-34.95512311171,-54.9345657456924,1.312336,1.312336,51.43402231518,51.89333991518,1.64042,0,2.46074154856,0.60762141052,21,5,7.769,51.89333991518,1.312336,0,2.48037081428,0,0,-2.013246,245, 0.9, 0,0,0,1024,1024,1342,1024,0,0,48,0,254.6,0,0,49,3.836,3.829,0,0,0,0,1.103,109.04,51.89333991518,1.312336,6,P-GPS,
704600,2023-12-27 01:08:37,-34.9551232795504,-54.9345658840172,1.64042,1.64042,51.43402231518,52.22142391518,1.968504,0,2.41455388304,0.68151905068,20,5,7.769,52.22142391518,1.64042,0,2.48037081428,0,0,-2.013246,245.1, 0.8, 0,0,0,1024,1024,1341,1024,0,0,48,0,254.6,0,0,49,3.836,3.829,0,0,0,0,1.103,109.04,52.22142391518,1.64042,6,P-GPS,
704700,2023-12-27 01:08:37,-34.9551233408467,-54.9345659593257,1.968504,1.968504,51.43402231518,52.54950791518,2.296588,0,2.40039049676,0.71325789684,20,5,7.769,52.54950791518,1.968504,0,2.48037081428,0,0,-2.23694,245.1, 0.9, 0,0,0,1024,1024,1341,1024,0,0,48,0,254.6,0,0,49,3.836,3.829,0,0,0,0,1.103,109.04,52.54950791518,1.968504,6,P-GPS,
704800,2023-12-27 01:08:37,-34.955123401472,-54.9345660297294,2.296588,2.296588,51.43402231518,52.87759191518,2.624672,0,2.38631241232,0.74379595556,20,5,7.769,52.87759191518,2.296588,0,2.48037081428,0,0,-2.23694,245.1, 0.9, 0,0,0,1024,1024,1341,1024,0,0,48,0,254.6,0,0,49,3.836,3.829,0,0,0,0,1.103,109.04,52.87759191518,2.296588,6,P-GPS,
