time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-12-29 04:25:47,-34.9578240341063,-54.9434401663164,0,0,21.527671620644,21.527671620644,0.328084,0,0,0,16,4,0,21.527671620644,0,0,0,0,0,0,56.4, 2.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,63.2,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011). Tarjeta SD llena. Cámbiala o elimina archivos (Code: 10027)"
100,2023-12-29 04:25:47,-34.9578239744743,-54.9434401658769,0,0,21.527671620644,21.527671620644,0.328084,0,0.0217570873104,0.0217570873104,16,4,0,21.527671620644,0,0,0.0217570873104,0,0,0,56.4, 2.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,63.2,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
200,2023-12-29 04:25:47,-34.957823880785,-54.9434402629389,0,0,21.527671620644,21.527671620644,0.328084,0,0.062959975768,0.066599083496,16,4,0,21.527671620644,0,0,0.062959975768,0,0,0,56.5, 2.2, -0.6,0,0,364,364,364,1684,-100,-100,-100,100,63.2,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
300,2023-12-29 04:25:47,-34.9578238343239,-54.943440301505,0,0,21.527671620644,21.527671620644,0.328084,0,0.083349412116,0.08710138074,16,4,0,21.527671620644,0,0,0.083349412116,0,0,0,56.5, 2.2, -0.6,0,0,364,364,364,1684,-100,-100,-100,100,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
400,2023-12-29 04:25:47,-34.9578238253626,-54.9434403155001,0,0,21.527671620644,21.527671620644,0.328084,0,0.0882627981,0.092411748364,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.4, 2.2, -0.6,0,0,364,364,364,1684,-100,-100,-100,100,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
500,2023-12-29 04:25:47,-34.957823837172,-54.9434403156121,0,0,21.527671620644,21.527671620644,0.328084,0,0.084590553888,0.09672080362,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.4, 2.2, -0.6,0,0,455,364,364,1669,-86,-100,-100,98,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 31. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2023-12-29 04:25:47,-34.9578239454163,-54.9434402426888,0,0,21.527671620644,21.527671620644,0.328084,0,0.039605644312,0.141833665956,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.5, 2.2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
700,2023-12-29 04:25:48,-34.9578239143261,-54.9434401791169,0,0,21.527671620644,21.527671620644,0.328084,0,0.043869095892,0.163970149604,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.5, 2.2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
800,2023-12-29 04:25:48,-34.957823904132,-54.9434401361825,0,0,21.527671620644,21.527671620644,0.328084,0,0.0482693585,0.177336291764,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.4, 2.2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
900,2023-12-29 04:25:48,-34.9578239047248,-54.9434401047681,0,0,21.527671620644,21.527671620644,0.328084,0,0.050665684036,0.18673228944,16,4,0,21.527671620644,0,0,0.0882627981,0,0,0,56.5, 2.2, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,63.3,0,0,98,4.308,4.306,0,0,0,0,0,80.06,21.527671620644,0,41,Motors_Started,
