time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-01-02 23:12:58,-34.9581774925995,-54.9445282141331,0,0,11.643708377848,11.643708377848,0.656168,0,0,0,14,4,0,11.643708377848,0,0,0,0,0,0,312.2, -8.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,323.2,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,
100,2023-01-02 23:12:58,-34.9581774332786,-54.9445284715336,0,0,11.643708377848,11.643708377848,0.656168,0,0.079953086548,0.079953086548,14,4,0,11.643708377848,0,0,0.079953086548,0,0,0,312.2, -8.3, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,323.3,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
200,2023-01-02 23:12:58,-34.9581773865471,-54.9445285842668,0,0.032808399999999,11.610899977848,11.643708377848,0.328084,0,0.117246066744,0.117729006392,14,4,0,11.643708377848,0,0,0.117246066744,0,0,0,312.2, -7.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,323.4,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,
300,2023-01-02 23:12:58,-34.9581773385503,-54.9445286854573,0,0.032808399999999,11.610899977848,11.643708377848,0.328084,0,0.15172900748,0.152688981264,14,4,0,11.643708377848,0,0,0.15172900748,0,0,0,312.4, -8, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,323.5,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,
400,2023-01-02 23:12:58,-34.9581773048611,-54.9445287799604,0,0.032808399999999,11.610899977848,11.643708377848,0.328084,0,0.18253281424,0.183504927132,14,4,0,11.643708377848,0,0,0.18253281424,0,0,0,312.4, -8.3, -0.2,0,0,364,364,364,1684,-100,-100,-100,100,323.5,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,
500,2023-01-02 23:12:58,-34.9581773502475,-54.9445287922244,0,0.032808399999999,11.610899977848,11.643708377848,0.328084,0,0.180494756432,0.200465229512,14,4,0,11.643708377848,0,0,0.18253281424,0,0,0,312.4, -8.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,323.6,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 84. Setting new Maximum Flight Altitude to 120m (394 ft)"
600,2023-01-02 23:12:58,-34.9581773089387,-54.944528887036,0,0.032808399999999,11.610899977848,11.643708377848,0.328084,0,0.212075794188,0.232572842088,14,4,0,11.643708377848,0,0,0.212075794188,0,0,0,312.6, -8.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,323.7,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.643708377848,0,41,Motors_Started,
700,2023-01-02 23:12:59,-34.9581772721636,-54.944528994135,-0.328084,-0.2952756,11.610899977848,11.315624377848,0.328084,0,0.246713262488,0.267294627976,14,4,0,11.643708377848,0,0,0.246713262488,0,0,0,312.2, -8.5, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,323.8,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.315624377848,-0.328084,41,Motors_Started,
800,2023-01-02 23:12:59,-34.9581772445093,-54.9445290626075,-0.328084,-0.2952756,11.610899977848,11.315624377848,0.328084,0,0.269373696284,0.290120416108,14,4,0,11.643708377848,0,0,0.269373696284,0,0,0,311.3, -8.6, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,323.5,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.315624377848,-0.328084,41,Motors_Started,
900,2023-01-02 23:12:59,-34.9581772109129,-54.9445291093116,-0.328084,-0.2952756,11.610899977848,11.315624377848,0.328084,0,0.286727699464,0.308702109616,14,4,0,11.643708377848,0,0,0.286727699464,0,0,0,310.8, -8.9, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,322.8,0,0,96,4.277,4.275,0,0,0,0,0,73.04,11.315624377848,-0.328084,41,Motors_Started,
