time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-01-04 22:47:32,-34.9535181587103,-54.9408052908092,0,0,15.131077583932,15.131077583932,0.328084,0,0,0,23,5,0,15.131077583932,0,0,0,0,0,-0.223694,94.2, -8.9, 5.9,0,0,364,364,364,1684,-100,-100,-100,100,107.1,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2023-01-04 22:47:32,-34.9535182001444,-54.9408053167964,0,0,15.131077583932,15.131077583932,0.328084,0,0.0169976711476,0.0169976711476,23,5,0,15.131077583932,0,0,0.0169976711476,0,0,-0.223694,94.8, -8.5, 5.1,0,0,364,364,364,1684,-100,-100,-100,100,107.1,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
200,2023-01-04 22:47:32,-34.9535181407835,-54.9408053572783,0,0,15.131077583932,15.131077583932,0.328084,0,0.0209251647116,0.041809056456,23,5,0,15.131077583932,0,0,0.0209251647116,0,0,0,94.5, -7.2, 5.4,0,0,364,364,364,1684,-100,-100,-100,100,107.2,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
300,2023-01-04 22:47:32,-34.9535181508668,-54.940805391444,0,0,15.131077583932,15.131077583932,0.328084,0,0.0302292660592,0.052667980688,23,5,0,15.131077583932,0,0,0.0302292660592,0,0,0,94.6, -6.2, 4.3,0,0,364,364,364,1684,-100,-100,-100,100,107.1,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
400,2023-01-04 22:47:32,-34.9535181882893,-54.9408053460046,0,0,15.131077583932,15.131077583932,0.328084,0,0.0197204402636,0.07193077658,23,5,0,15.131077583932,0,0,0.0302292660592,0,0,-0.223694,94.9, -7.3, 2.2,0,0,1024,1024,364,1473,0,0,-100,68,107.1,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
500,2023-01-04 22:47:32,-34.9535182969489,-54.940805212641,0,0,15.131077583932,15.131077583932,0.328084,0.223694,0.055589568708,0.128163718012,23,5,0,15.131077583932,0,0.223694,0.055589568708,0,0.223694,-0.223694,93.7, -9.3, 0.8,0,0,1024,1024,989,1024,0,0,-5,0,106.6,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
600,2023-01-04 22:47:32,-34.953518388934,-54.9408050468502,0,0,15.131077583932,15.131077583932,0.328084,0.223694,0.111254596736,0.188032486332,23,5,0,15.131077583932,0,0.223694,0.111254596736,0,0.223694,-0.223694,90.8, -13.4, -0.7,0,0,1024,1024,1415,1024,0,0,59,0,104.2,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
700,2023-01-04 22:47:33,-34.953518752616,-54.9408047254889,0,-0.032808399999999,15.163885983932,15.131077583932,0.328084,0.223694,0.274829733204,0.35186680916,23,5,0,15.131077583932,0,0.223694,0.274829733204,0,0.223694,0,88.8, -17.2, -2.6,0,0,1024,1024,1684,1024,0,0,100,0,101.3,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
800,2023-01-04 22:47:33,-34.9535187594025,-54.9408045125762,0,-0.032808399999999,15.163885983932,15.131077583932,0.328084,0.3131716,0.319672910492,0.4155840028,23,5,0,15.131077583932,0,0.3131716,0.319672910492,0.223694,0.223694,0,85.7, -19.7, -6.3,0,0,1024,1024,1684,1024,0,0,100,0,97.4,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,
900,2023-01-04 22:47:33,-34.9535187053618,-54.9408042862618,0,-0.032808399999999,15.163885983932,15.131077583932,0.328084,0.3131716,0.36057743936,0.4860728502,23,5,0,15.131077583932,0,0.3131716,0.36057743936,0.223694,0.223694,-0.223694,86.6, -17.4, -6.2,0,0,1024,1024,1684,1024,0,0,100,0,95.7,0,0,31,3.768,3.765,0,0,0,0,0,80.96,15.131077583932,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 97. Setting new Maximum Flight Altitude to 120m (394 ft)"
