time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-03-29 16:24:31,-34.9537864665315,-54.9408395252863,0,0,14.476778022312,14.476778022312,0.328084,0,0,0,24,5,0,14.476778022312,0,0,0,0,0,0,190.6, 0.8, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
100,2023-03-29 16:24:31,-34.9537863451277,-54.9408395374037,0,0,14.476778022312,14.476778022312,0.328084,0,0.044441930556,0.044441930556,24,5,0,14.476778022312,0,0,0.044441930556,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
200,2023-03-29 16:24:31,-34.9537863343963,-54.9408395392482,0,0,14.476778022312,14.476778022312,0.328084,0,0.048389765328,0.048395998924,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.6, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
300,2023-03-29 16:24:31,-34.9537863704142,-54.9408395405582,0,0,14.476778022312,14.476778022312,0.328084,0,0.035364502444,0.061542980972,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2023-03-29 16:24:31,-34.9537863981922,-54.9408395416356,0,0,14.476778022312,14.476778022312,0.328084,0,0.0254083669548,0.07168307316,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
500,2023-03-29 16:24:32,-34.9537865160036,-54.940839544668,0,0.065616799999999,14.411161222312,14.476778022312,0.328084,0,0.0189575793468,0.114675856688,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.6, 0.9, 8.3,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
600,2023-03-29 16:24:32,-34.9537865272887,-54.9408395453709,0,0.065616799999999,14.411161222312,14.476778022312,0.328084,0,0.0229664705512,0.118798560232,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
700,2023-03-29 16:24:32,-34.9537865325323,-54.9408395465326,0,0.065616799999999,14.411161222312,14.476778022312,0.328084,0,0.0249043971224,0.1207431141,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
800,2023-03-29 16:24:32,-34.953786534988,-54.9408395477667,0,0.065616799999999,14.411161222312,14.476778022312,0.328084,0,0.0258651911164,0.121711946152,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.5, 0.9, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
900,2023-03-29 16:24:32,-34.9537865252857,-54.9408395566574,0,0.065616799999999,14.411161222312,14.476778022312,0.328084,0,0.023399278964,0.126139111648,24,5,0,14.476778022312,0,0,0.048389765328,0,0,0,190.6, 1, 8.4,0,0,364,364,364,1684,-100,-100,-100,100,201.8,0,0,92,4.262,4.261,0,0,0,0,0,98.42,14.476778022312,0,41,Motors_Started,
