time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
734500,2023-03-29 16:37:46,-34.9537885791738,-54.9408216604758,0,0,14.977243261424,14.583542461424,1.312336,0,0,0,26,5,0,14.583542461424,0,0,0,0,0,0,8.9, 4.9, -7.4,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
734600,2023-03-29 16:37:46,-34.9537885903465,-54.9408216505316,0,0,14.977243261424,14.583542461424,1.312336,0,0.0050457350696,0.0050457350696,26,5,0,14.583542461424,0,0,0.0050457350696,0,0,0,8.9, 4.9, -7.4,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
734700,2023-03-29 16:37:46,-34.9537885952091,-54.9408216471045,0,0,14.977243261424,14.583542461424,0.328084,0,0.0070863191244,0.0070945540328,26,5,0,14.583542461424,0,0,0.0070863191244,0,0,0,8.9, 4.9, -7.3,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
734800,2023-03-29 16:37:47,-34.9537885902521,-54.9408216532741,0,0,14.977243261424,14.583542461424,0.328084,0,0.0045798557896,0.0096780842992,26,5,0,14.583542461424,0,0,0.0070863191244,0,0,0,8.9, 4.9, -7.3,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
734900,2023-03-29 16:37:47,-34.9537885582694,-54.9408216602498,0,0,14.977243261424,14.583542461424,0.328084,0,0.0076272312152,0.0215319232612,26,5,0,14.583542461424,0,0,0.0076272312152,0,0,0,8.9, 4.8, -7.3,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 120m (394 ft)"
735000,2023-03-29 16:37:47,-34.9537885513192,-54.9408216167493,0,0,14.977243261424,14.583542461424,0.328084,0,3.8038715128,0.0347851061,26,5,0,14.583542461424,0,0,3.8038715128,0,0,0,8.9, 4.9, -7.4,0,0,364,364,364,1684,-100,-100,-100,100,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
735100,2023-03-29 16:37:47,-34.9537885438724,-54.9408215899271,0,0,14.977243261424,14.583542461424,0.328084,0,3.8123032716,0.043253610308,27,5,0,14.583542461424,0,0,3.8123032716,0,0,0,8.9, 4.9, -7.4,0,0,364,364,364,1671,-100,-100,-100,98,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
735200,2023-03-29 16:37:47,-34.9537885361324,-54.9408215817964,0,0,14.977243261424,14.583542461424,0.328084,0,3.8153544528,0.04697998838,27,5,0,14.583542461424,0,0,3.8153544528,0,0,0,8.9, 4.8, -7.3,0,0,1024,1024,1024,1024,0,0,0,0,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
735300,2023-03-29 16:37:47,-34.9537884884743,-54.9408215363531,0,-0.032808399999999,15.010051661424,14.583542461424,0.328084,0,3.8328741384,0.069048230556,27,5,0,14.583542461424,0,0,3.8328741384,0,0,0,8.9, 4.9, -7.3,0,0,1024,1024,1024,1024,0,0,0,0,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
735400,2023-03-29 16:37:47,-34.9537884807229,-54.9408215435665,0,-0.032808399999999,15.010051661424,14.583542461424,0.328084,0,3.8314961856,0.0726049892,27,5,0,14.583542461424,0,0,3.8328741384,0,0,0,8.9, 4.9, -7.3,0,0,1024,1024,1024,1024,0,0,0,0,25.3,0,0,50,3.878,3.876,0,0,0,0,0,112.64,14.583542461424,0,41,Motors_Started,
