time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
634900,2025-05-01 19:13:14,-23.0258953192933,-44.2864811064561,0,0,3.153945967068,8.370481567068,1.64042,0,0,0,23,5,0,8.370481567068,0,0,0,0,0,0,212.6, 7.3, 2.6,0,0,364,364,364,1684,-100,-100,-100,100,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,6,P-GPS,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
635000,2025-05-01 19:13:14,-23.0258952493614,-44.2864811220199,0,0,3.153945967068,8.370481567068,1.64042,0,0.0260443249804,0.0260443249804,23,5,0,8.370481567068,0,0,0.0260443249804,0,0,0,212.6, 7.3, 2.6,0,0,364,364,364,1684,-100,-100,-100,100,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635100,2025-05-01 19:13:14,-23.0258952091323,-44.2864810174668,0,0,3.153945967068,8.370481567068,0.328084,0,0.050082678768,0.06409613066,23,5,0,8.370481567068,0,0,0.050082678768,0,0,0,212.6, 7.3, 2.6,0,0,364,364,364,1684,-100,-100,-100,100,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635200,2025-05-01 19:13:14,-23.025895173072,-44.2864810317647,0,0,3.153945967068,8.370481567068,0.328084,0,0.058949805036,0.078101052368,23,5,0,8.370481567068,0,0,0.058949805036,0,0,0,212.6, 7.3, 2.6,0,0,1024,878,1077,705,0,-22,8,-48,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635300,2025-05-01 19:13:15,-23.0258951542081,-44.2864810466583,0,0,3.153945967068,8.370481567068,0.328084,0,0.063489831428,0.086608598572,23,5,0,8.370481567068,0,0,0.063489831428,0,0,0,212.6, 7.3, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635400,2025-05-01 19:13:15,-23.0258951334683,-44.2864810637859,0,0,3.153945967068,8.370481567068,0.328084,0,0.069295605892,0.096113192052,23,5,0,8.370481567068,0,0,0.069295605892,0,0,0,212.6, 7.3, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635500,2025-05-01 19:13:15,-23.0258952232021,-44.2864810234987,0,0,3.153945967068,8.370481567068,0.328084,0,0.044777888572,0.1315370777,23,5,0,8.370481567068,0,0,0.069295605892,0,0,0,212.6, 7.3, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.370481567068,0,41,Motors_Started,
635600,2025-05-01 19:13:15,-23.0258952049635,-44.2864810444987,0.328084,0.328084,3.153945967068,8.698565567068,0.328084,0,0.046613190468,0.141232616068,23,5,0,8.698565567068,0.328084,0,0.069295605892,0,0,0,212.6, 7.3, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.698565567068,0.328084,41,Motors_Started,
635700,2025-05-01 19:13:15,-23.0258951938119,-44.2864810598391,0.328084,0.328084,3.153945967068,8.698565567068,0.328084,0,0.048383859816,0.147796592656,23,5,0,8.698565567068,0.328084,0,0.069295605892,0,0,0,212.6, 7.3, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,224.7,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.698565567068,0.328084,41,Motors_Started,
635800,2025-05-01 19:13:15,-23.0258951805759,-44.2864810773391,0.328084,0.328084,3.153945967068,8.698565567068,0.328084,0,0.051546589576,0.155402564028,23,5,0,8.698565567068,0.328084,0,0.069295605892,0,0,0,212.6, 7.3, 2.7,0,0,1010,1024,1024,1024,-2,0,0,0,224.6,0,0,47,3.835,3.832,0,0,0,0,0,111.92,8.698565567068,0.328084,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 55. Setting new Maximum Flight Altitude to 500m (1640 ft)"
