time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-05-20 16:10:53,-34.9287342017926,-56.1627754038151,0,0,7.02892739028,7.02892739028,0,0,0,0,22,5,0,7.02892739028,0,0,0,0,0,0,190.6, 12.7, -3.4,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.5,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,6,P-GPS,
100,2025-05-20 16:10:53,-34.9287340001429,-56.16277540364,0,0,7.02892739028,7.02892739028,0,0,0.073571852748,0.073571852748,21,5,0,7.02892739028,0,0,0.073571852748,0,0,0,190.6, 12.7, -3.4,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.5,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,6,P-GPS,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 6. Setting new Maximum Flight Altitude to 120m (394 ft). Zona de altitud restringida 150m Arranque de motores..."
200,2025-05-20 16:10:53,-34.9287339996969,-56.1627754078237,0,0,7.02892739028,7.02892739028,0,0,0.073744096848,0.074833663812,21,5,0,7.02892739028,0,0,0.073744096848,0,0,0,190.6, 12.7, -3.5,0,0,862,1103,1024,232,-25,12,0,-100,196.2,0,-2.7,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
300,2025-05-20 16:10:53,-34.9287338989861,-56.1627752065552,0,0,7.02892739028,7.02892739028,0,0,0.125248691672,0.1453658183,20,5,0,7.02892739028,0,0,0.125248691672,0,0,0,190.7, 12.7, -3.5,0,0,862,1103,1024,232,-25,12,0,-100,196.2,0,-2.6,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
400,2025-05-20 16:10:53,-34.9287338997947,-56.1627752016976,0,0,7.02892739028,7.02892739028,0,0,0.125681106384,0.146848429896,20,5,0,7.02892739028,0,0,0.125681106384,0,0,0,190.7, 12.7, -3.6,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.7,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
500,2025-05-20 16:10:54,-34.9287339025639,-56.1627750903673,0,0,7.02892739028,7.02892739028,0.328084,0,0.143909453424,0.18016568818,20,5,0,7.02892739028,0,0,0.143909453424,0,0,0,190.7, 12.7, -3.5,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.7,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
600,2025-05-20 16:10:54,-34.9287339026306,-56.1627751031833,0,0,7.02892739028,7.02892739028,0.328084,0,0.141422904788,0.18399934972,20,5,0,7.02892739028,0,0,0.143909453424,0,0,0,190.6, 12.7, -3.4,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.6,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
700,2025-05-20 16:10:54,-34.9287340975832,-56.1627752131239,0,0,7.02892739028,7.02892739028,0.328084,0,0.068550855212,0.26236221312,20,5,0,7.02892739028,0,0,0.143909453424,0,0,0,190.6, 12.7, -3.5,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.6,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
800,2025-05-20 16:10:54,-34.9287340931193,-56.162775218005,0,0,7.02892739028,7.02892739028,0.328084,0,0.068273624232,0.264549549148,20,5,0,7.02892739028,0,0,0.143909453424,0,0,0,190.7, 12.7, -3.4,0,0,862,1103,1024,232,-25,12,0,-100,196.1,0,-2.6,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
900,2025-05-20 16:10:54,-34.9287340925777,-56.1627749141039,0,0,7.02892739028,7.02892739028,0.328084,0,0.151808731892,0.35545604812,20,5,0,7.02892739028,0,0,0.151808731892,0,0,0,190.9, 12.7, -3.4,0,0,862,1103,1024,232,-25,12,0,-100,196.2,0,-2.6,99,4.12,4.115,0,0,0,0,0,79.52,7.02892739028,0,41,Motors_Started,"Zona de altitud restringida 150m Arranque de motores..."
