time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-05-20 16:39:00,-34.9287428016418,-56.1627738024762,0,0,6.93121249214,6.93121249214,0.328084,0,0,0,23,5,0,6.93121249214,0,0,0,0,0,0,201.7, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.2,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,Volando
100,2025-05-20 16:39:00,-34.9287428004294,-56.1627737992853,0,0,6.93121249214,6.93121249214,0.328084,0,0.00105202431188,0.00105202431188,23,5,0,6.93121249214,0,0,0.00105202431188,0,0,0,201.7, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.2,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
200,2025-05-20 16:39:00,-34.9287426983688,-56.1627736913996,0,0,6.93121249214,6.93121249214,0.328084,0,0.05023622208,0.050327101348,23,5,0,6.93121249214,0,0,0.05023622208,0,0,0,201.7, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
300,2025-05-20 16:39:00,-34.9287426984488,-56.1627736947669,0,0,6.93121249214,6.93121249214,0.328084,0,0.04955380736,0.051334647312,23,5,0,6.93121249214,0,0,0.05023622208,0,0,0,201.7, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
400,2025-05-20 16:39:00,-34.9287427001028,-56.1627736918473,0,0,6.93121249214,6.93121249214,0.328084,0,0.049674214188,0.052396327136,23,5,0,6.93121249214,0,0,0.05023622208,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
500,2025-05-20 16:39:00,-34.9287427003949,-56.1627736916214,0,0,6.93121249214,6.93121249214,0.328084,0,0.049639765368,0.052522311392,23,5,0,6.93121249214,0,0,0.05023622208,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
600,2025-05-20 16:39:01,-34.9287426037958,-56.1627738013843,0,0,6.93121249214,6.93121249214,0.328084,0,0.072184713596,0.100690291936,23,5,0,6.93121249214,0,0,0.072184713596,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
700,2025-05-20 16:39:01,-34.9287426047076,-56.162773801799,0,0,6.93121249214,6.93121249214,0.328084,0,0.071851708336,0.101045606908,23,5,0,6.93121249214,0,0,0.072184713596,0,0,0,201.8, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
800,2025-05-20 16:39:01,-34.9287425034499,-56.1627740063821,0,0,6.93121249214,6.93121249214,0.328084,0,0.12472605386,0.172528548828,23,5,0,6.93121249214,0,0,0.12472605386,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 8. Setting new Maximum Flight Altitude to 30m (98 ft)"
900,2025-05-20 16:39:01,-34.9287425036237,-56.1627740093039,0,0,6.93121249214,6.93121249214,0.328084,0,0.125100725788,0.173404861192,23,5,0,6.93121249214,0,0,0.125100725788,0,0,0,201.8, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
1000,2025-05-20 16:39:01,-34.9287425113525,-56.162774012935,0,0,6.93121249214,6.93121249214,0.328084,0,0.123209321528,0.176426842916,23,5,0,6.93121249214,0,0,0.125100725788,0,0,0,202, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
1100,2025-05-20 16:39:01,-34.9287424074122,-56.1627741100629,0,-0.032808399999999,6.96402089214,6.93121249214,0.328084,0,0.17074475612,0.22419948224,23,5,0,6.93121249214,0,0,0.17074475612,0,0,0,201.7, 5.7, 5.7,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
1200,2025-05-20 16:39:01,-34.9287424079884,-56.162774103775,0,-0.032808399999999,6.96402089214,6.93121249214,0.328084,0,0.16956037288,0.226091870752,23,5,0,6.93121249214,0,0,0.17074475612,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
1300,2025-05-20 16:39:01,-34.9287424100437,-56.1627740867515,0,-0.032808399999999,6.96402089214,6.93121249214,0.328084,0,0.1662647691,0.231239180628,23,5,0,6.93121249214,0,0,0.17074475612,0,0,0,201.7, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0,99.86,6.93121249214,0,6,P-GPS,
1400,2025-05-20 16:39:01,-34.928742513314,-56.1627739766513,0,0,6.93121249214,6.93121249214,0.328084,0,0.117391407956,0.281281833148,23,5,7.451,6.93121249214,0,0,0.17074475612,0,0,0,202.2, 5.7, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6.1,44,3.701,3.704,0,0,0,0,0.904,99.86,6.93121249214,0,6,P-GPS,
1500,2025-05-20 16:39:01,-34.9287425111551,-56.1627739698136,0,0,6.93121249214,6.93121249214,0.328084,0,0.11720964942,0.283473762352,23,5,7.451,6.93121249214,0,0,0.17074475612,0,0,0,202, 5.8, 5.5,0,0,1024,1024,1024,1024,0,0,0,0,220.4,0,6,44,3.701,3.704,0,0,0,0,0.904,99.86,6.93121249214,0,6,P-GPS,
