time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
135700,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,6,P-GPS,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 16. Setting new Maximum Flight Altitude to 30m (98 ft). Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
135800,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,6,P-GPS,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
135900,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277.1,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136000,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136100,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136200,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136300,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.8, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136400,2025-05-23 15:37:08,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.9, 21.6, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,276.9,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136500,2025-05-23 15:37:09,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,277, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136600,2025-05-23 15:37:09,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.9, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,276.9,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136700,2025-05-23 15:37:09,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.9, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136800,2025-05-23 15:37:09,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.9, 21.7, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
136900,2025-05-23 15:37:09,0,0,0,,,3.28084E-5,0.328084,0,0,0,0,0,0,3.28084E-5,0,0,0,0,0,0,276.5, 21.8, 4.4,0,0,987,1034,1024,1146,-6,2,0,18,277,-1.5,5,81,,,,,,,0,32,3.28084E-5,0,41,Motors_Started,"Conexión por cable OTG Gafas en modo de conexión por cable OTG. Sal de este modo antes de conectarlas al ordenador. Arranque de motores..."
