time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,12,2,0,0,0,0,0,0,0,0,290.2, 2.1, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,312.5,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011). Señal de posicionamiento por satélite débil. Vuelo estacionario inestable. Vuela con cuidado (Code: 30008). Señal de posicionamiento por saté"
100,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,12,2,0,0,0,0,0,0,0,0,290.2, 2.2, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,312.5,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
200,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,12,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,312.5,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
300,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,13,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,312.5,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 58. Setting new Maximum Flight Altitude to 500m (1640 ft)"
400,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,13,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.6,0,0,364,364,364,1684,-100,-100,-100,100,312.5,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
500,2025-05-02 19:22:11,0,0,0,,,0,0.328084,0,0,0,13,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.6,0,0,364,364,364,1684,-100,-100,-100,100,312.6,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
600,2025-05-02 19:22:12,0,0,0,,,0,0.328084,0,0,0,13,2,0,0,0,0,0,0,0,0,290.3, 2.3, 1.6,0,0,731,554,1024,1047,-44,-71,0,3,312.6,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
700,2025-05-02 19:22:12,0,0,0,,,0,0.328084,0,0,0,14,2,0,0,0,0,0,0,0,0,290.3, 2.3, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,312.6,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
800,2025-05-02 19:22:12,0,0,0,,,0,0.328084,0,0,0,14,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,312.6,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
900,2025-05-02 19:22:12,0,0,0,,,0,0.328084,0,0,0,14,2,0,0,0,0,0,0,0,0,290.3, 2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,312.6,0,0,100,4.335,4.333,0,0,0,0,0,84.74,0,0,41,Motors_Started,
