time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
142700,,-34.9057663210175,-56.1282948766509,126.640424,126.640424,15.55801558972,146.43072318972,41.338584,0,0,0,23,5,0,146.43072318972,126.640424,0,0,0,0,0,46.7, 4.6, -1.9,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.43072318972,126.640424,6,P-GPS,
142800,2023-11-19 21:37:36,-34.9057664036643,-56.1282948676252,126.968508,126.968508,15.55801558972,146.75880718972,41.338584,0,0.0302743119924,0.0302743119924,23,5,0,146.75880718972,126.968508,0,0.0302743119924,0,0,0,46.5, 4.9, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
142900,2023-11-19 21:37:36,-34.9057666460028,-56.1282949150935,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.1191273004,0.119824806984,23,5,0,146.75880718972,126.968508,0,0.1191273004,0,0,0,46.4, 4.7, -3.1,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143000,2023-11-19 21:37:36,-34.9057667571799,-56.1282949057336,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.159371396176,0.160484257104,23,5,0,146.75880718972,126.968508,0,0.159371396176,0,0,0,46.5, 4.3, -3.1,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143100,2023-11-19 21:37:36,-34.9057668532712,-56.1282948806623,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.19419620044,0.196336620456,23,5,0,146.75880718972,126.968508,0,0.19419620044,0,0,0,46.6, 4.1, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143200,2023-11-19 21:37:36,-34.9057669356313,-56.1282948405483,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.224501647604,0.22869423304,23,5,0,146.75880718972,126.968508,0,0.224501647604,0,0,0,46.5, 3.6, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143300,2023-11-19 21:37:37,-34.9057669850579,-56.1282947312375,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.246150598428,0.2660433156,23,5,0,146.75880718972,126.968508,0,0.246150598428,0,0,0,46.4, 4.3, -3,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143400,2023-11-19 21:37:37,-34.9057670298205,-56.1282944741734,126.968508,127.0013164,15.52520718972,146.75880718972,41.338584,0,0.285271006504,0.34467520788,23,5,0,146.75880718972,126.968508,0,0.285271006504,0,0,0,46.3, 4.9, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,146.75880718972,126.968508,6,P-GPS,
143500,2023-11-19 21:37:37,-34.9057670917014,-56.1282943982911,127.296592,127.3294004,15.52520718972,147.08689118972,41.338584,0,0.315516414296,0.37669292544,23,5,0,147.08689118972,127.296592,0,0.315516414296,0,0,0,46.4, 4.4, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,0,102.74,147.08689118972,127.296592,6,P-GPS,
143600,2023-11-19 21:37:37,-34.9057671363078,-56.1282943448057,127.296592,127.3294004,15.52520718972,147.08689118972,41.338584,0,0.33734909216,0.39951772932,23,5,8.212,147.08689118972,127.296592,0,0.33734909216,0,0,0,46.4, 4.4, -3.1,0,0,1024,1024,1024,1024,0,0,0,0,59.4,-14.6,0,83,4.111,4.1,0,0,0,0,3.636,102.74,147.08689118972,127.296592,6,P-GPS,"N/A. Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 24. Setting new Maximum Flight Altitude to 120m (394 ft)"
