time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-11-02 22:21:46,-34.9197742735933,-56.168705186052,0,0,44.57572157078,44.57572157078,0.328084,0,0,0,21,5,0,44.57572157078,0,0,0,0,0.223694,0,284.6, -0.9, 1.1,0,0,364,364,364,1684,-100,-100,-100,100,294.1,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2022-11-02 22:21:46,-34.9197743077947,-56.1687051377321,0,0,44.57572157078,44.57572157078,0.328084,0.223694,0.0190962604536,0.0190962604536,21,5,0,44.57572157078,0,0.223694,0.0190962604536,0,0.223694,0,283.7, -1.2, 0.9,0,0,364,364,364,1684,-100,-100,-100,100,294.5,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
200,2022-11-02 22:21:46,-34.9197743364203,-56.1687051246263,0,0,44.57572157078,44.57572157078,0.328084,0.223694,0.0293788723312,0.0302520022804,21,5,0,44.57572157078,0,0.223694,0.0293788723312,0,0.223694,0,284.2, -0.7, 0.9,0,0,364,364,364,1684,-100,-100,-100,100,294.3,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
300,2022-11-02 22:21:46,-34.9197743633629,-56.1687051234665,0,0,44.57572157078,44.57572157078,0.328084,0,0.03772637916,0.040088255876,21,5,0,44.57572157078,0,0.223694,0.03772637916,0,0,0,284.2, -0.9, 0.5,0,0,364,364,364,1684,-100,-100,-100,100,294.4,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
400,2022-11-02 22:21:46,-34.9197743362688,-56.1687054337454,0,0,44.57572157078,44.57572157078,0.328084,0,0.077548230828,0.133436027892,21,5,0,44.57572157078,0,0.223694,0.077548230828,0,0,0,283.9, -0.6, 0.9,0,0,364,364,364,1684,-100,-100,-100,100,294.5,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,"Setting new Return-To-Home altitude to 80m (262 ft). Data Recorder File Index is 70. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2022-11-02 22:21:46,-34.9197743212114,-56.1687054407888,0,0,44.57572157078,44.57572157078,0.328084,0,0.078162404076,0.139319886348,21,5,0,44.57572157078,0,0.223694,0.078162404076,0,0,0,282.4, -1.5, 0.6,0,0,1024,1024,364,1684,0,0,-100,100,293.7,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
600,2022-11-02 22:21:47,-34.9197743018647,-56.1687054388206,0,0,44.57572157078,44.57572157078,0.328084,0,0.076318571996,0.146402891824,21,5,0,44.57572157078,0,0.223694,0.078162404076,0,0,0,282.6, -0.9, -0.2,0,0,1024,1024,575,1480,0,0,-68,69,292.9,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
700,2022-11-02 22:21:47,-34.919774293891,-56.1687053941236,0,0,44.57572157078,44.57572157078,0.328084,0,0.062685697544,0.160087275464,21,5,0,44.57572157078,0,0.223694,0.078162404076,0,0,0,284.3, 2.2, 0.9,0,0,1088,1024,1176,1024,10,0,23,0,293.6,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
800,2022-11-02 22:21:47,-34.9197742302156,-56.1687052648987,0,0,44.57572157078,44.57572157078,0.328084,0,0.028405184636,0.205189967196,21,5,0,44.57572157078,0,0.223694,0.078162404076,0,0,0,285.3, 2.6, 0.9,0,0,1122,1024,1269,1024,15,0,37,0,294.9,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
900,2022-11-02 22:21:47,-34.9197742095181,-56.1687051646778,0,0,44.57572157078,44.57572157078,0.328084,0,0.0242365165236,0.236108275272,21,5,0,44.57572157078,0,0.223694,0.078162404076,0,0,0,283.6, 1.6, 1,0,0,1024,1024,1392,1026,0,0,56,0,294.8,0,0,93,4.265,4.253,0,0,0,0,0,78.44,44.57572157078,0,41,Motors_Started,
