time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-10-20 03:53:33,-34.9582175767673,-54.9445421119202,0,0,12.028648022712,12.028648022712,1.312336,0,0,0,25,5,0,12.028648022712,0,0,0,0,0,0,305, -10.1, 0.9,0,0,364,364,364,1684,-100,-100,-100,100,312.3,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
100,2022-10-20 03:53:33,-34.9582176302128,-54.944542022743,0,0,12.028648022712,12.028648022712,1.312336,0,0.03303477796,0.03303477796,25,5,0,12.028648022712,0,0,0.03303477796,0,0,0,305.2, -10, 1,0,0,364,364,364,1684,-100,-100,-100,100,311.8,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,"En vuelo"
200,2022-10-20 03:53:33,-34.9582176810984,-54.9445419097147,0,0,12.028648022712,12.028648022712,0.328084,0,0.071447836932,0.071595802816,25,5,0,12.028648022712,0,0,0.071447836932,0,0,0,304.7, -9.1, 1.6,0,0,364,364,364,1684,-100,-100,-100,100,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
300,2022-10-20 03:53:33,-34.9582177284186,-54.9445417592177,0,0,12.028648022712,12.028648022712,0.328084,0,0.11909777284,0.119795607508,25,5,0,12.028648022712,0,0,0.11909777284,0,0,0,305, -8.7, 1.5,0,0,364,364,364,1684,-100,-100,-100,100,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 5. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-10-20 03:53:33,-34.9582177636003,-54.9445416371737,0,0,12.028648022712,12.028648022712,0.328084,0,0.157476382992,0.158480648116,25,5,0,12.028648022712,0,0,0.157476382992,0,0,0,305.2, -8.8, 1,0,0,820,1024,843,1573,-31,0,-27,83,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
500,2022-10-20 03:53:34,-34.9582177193734,-54.9445416632004,0,0,12.028648022712,12.028648022712,0.328084,0,0.14391076576,0.176395674936,25,5,0,12.028648022712,0,0,0.157476382992,0,0,0,304.9, -8.9, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
600,2022-10-20 03:53:34,-34.9582177169991,-54.9445416243387,0,0,12.028648022712,12.028648022712,0.328084,0,0.154513128304,0.188048234364,25,5,0,12.028648022712,0,0,0.157476382992,0,0,0,305, -8.7, 1,0,0,1024,1024,1024,1024,0,0,0,0,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
700,2022-10-20 03:53:34,-34.9582177505548,-54.9445415372613,0,0,12.028648022712,12.028648022712,0.328084,0,0.18315945468,0.21682087308,25,5,0,12.028648022712,0,0,0.18315945468,0,0,0,305, -8.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
800,2022-10-20 03:53:34,-34.9582177883852,-54.9445414575441,0,-0.032808399999999,12.061456422712,12.028648022712,0.328084,0,0.210353025104,0.244365493384,25,5,0,12.028648022712,0,0,0.210353025104,0,0,0,305, -9, 0,0,0,1024,1024,1024,1024,0,0,0,0,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
900,2022-10-20 03:53:34,-34.9582177620321,-54.9445414698956,0,-0.032808399999999,12.061456422712,12.028648022712,0.328084,0,0.203529862156,0.25466536248,25,5,0,12.028648022712,0,0,0.210353025104,0,0,0,304.9, -8.6, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,311.6,0,0,96,4.302,4.299,0,0,0,0,0,78.08,12.028648022712,0,41,Motors_Started,
