time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-20 20:36:11,-34.9105557544052,-56.1387334263298,0,0,42.96359881578,42.96359881578,0.328084,0,0,0,22,5,0,42.96359881578,0,0,0,0,0,0.223694,242.2, -7.2, -1,0,0,364,364,364,1684,-100,-100,-100,100,253.7,17.9,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2023-10-20 20:36:11,-34.910555741552,-56.1387334576922,0,0,42.96359881578,42.96359881578,0.328084,0,0.0104899609656,0.0104899609656,22,5,0,42.96359881578,0,0,0.0104899609656,0,0,0.223694,241.6, -6.1, -0.1,0,0,364,364,364,1684,-100,-100,-100,100,252.6,17.9,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
200,2023-10-20 20:36:11,-34.9105557478248,-56.1387334439296,0,0,42.96359881578,42.96359881578,0.328084,0,0.005787237718,0.0152009191216,22,5,0,42.96359881578,0,0,0.0104899609656,0,0,0,241.3, -6.6, -0.6,0,0,364,364,364,1684,-100,-100,-100,100,252.2,17.9,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
300,2023-10-20 20:36:11,-34.9105557630858,-56.1387334056377,0,0,42.96359881578,42.96359881578,0.328084,0,0.0069540356556,0.027938977272,22,5,0,42.96359881578,0,0,0.0104899609656,0,0,0,241.2, -6.2, -1.1,0,0,364,364,364,1684,-100,-100,-100,100,251.8,18,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
400,2023-10-20 20:36:11,-34.9105556717669,-56.1387333699189,0,0,42.96359881578,42.96359881578,0.328084,0,0.034553150712,0.062928479704,22,5,0,42.96359881578,0,0,0.034553150712,0,0,0,241.4, -6.6, -1,0,0,505,838,364,1684,-79,-28,-100,100,251.7,18,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
500,2023-10-20 20:36:11,-34.9105556118729,-56.1387333601386,0,0,42.96359881578,42.96359881578,0.328084,0,0.055645999156,0.084976052588,22,5,0,42.96359881578,0,0,0.055645999156,0,0,0,240.9, -6.7, -0.7,0,0,1024,1024,948,1172,0,0,-12,22,251.6,18,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
600,2023-10-20 20:36:12,-34.9105555483034,-56.1387333306168,0,0,42.96359881578,42.96359881578,0.328084,0,0.08046424142,0.109794294852,22,5,0,42.96359881578,0,0,0.08046424142,0,0,0,240.3, -7.4, -1.2,0,0,1024,1024,1289,1026,0,0,40,0,251.1,18,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
700,2023-10-20 20:36:12,-34.9105554925444,-56.1387332814568,0,-0.065616799999999,43.02921561578,42.96359881578,0.328084,0,0.104912404932,0.134897970196,22,5,0,42.96359881578,0,0,0.104912404932,0,0,0,239.6, -7.6, -1.5,0,0,1024,1024,1452,1052,0,0,65,4,250.4,17.9,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 19. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2023-10-20 20:36:12,-34.9105555099435,-56.1387332814992,0,0,42.96359881578,42.96359881578,0.328084,0,0.099160764328,0.141246067512,22,5,0,42.96359881578,0,0,0.104912404932,0,0,0,239, -7.8, -0.8,0,0,1024,1024,1452,1052,0,0,65,4,249.8,17.9,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
900,2023-10-20 20:36:12,-34.9105555873476,-56.1387333893705,0,0,42.96359881578,42.96359881578,0.328084,0,0.061945868124,0.184131567572,22,5,0,42.96359881578,0,0,0.104912404932,0,0,0,238.1, -8.1, -1.1,0,0,1024,1024,1555,1024,0,0,80,0,249,18,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
1000,2023-10-20 20:36:12,-34.9105555974427,-56.1387334268691,0,0,42.96359881578,42.96359881578,0.328084,0,0.057268046452,0.1959399669,22,5,0,42.96359881578,0,0,0.104912404932,0,0,0,238.2, -8.9, -0.4,0,0,1024,1024,1684,1024,0,0,100,0,248.5,14.5,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,41,Motors_Started,
1100,2023-10-20 20:36:12,-34.9105555949007,-56.1387334785351,0,0,42.96359881578,42.96359881578,0.328084,0,0.060254923188,0.211426187868,22,5,0,42.96359881578,0,0,0.104912404932,0,0,0,237.7, -10.2, -0.2,0,0,1024,1024,1684,1024,0,0,100,0,248.4,12.1,0,95,4.292,4.288,0,0,0,0,0,83.66,42.96359881578,0,10,Assisted_Takeoff,
1200,2023-10-20 20:36:12,-34.9105555741327,-56.1387335005906,0,0.032808399999999,42.93079041578,42.96359881578,0.328084,0,0.069423558652,0.221473760368,22,5,8.603,42.96359881578,0,0,0.104912404932,0,0,0,236.9, -7.7, 0.8,0,0,1024,1024,1684,1024,0,0,100,0,247.7,11.9,0,95,4.292,4.288,0,0,0,0,0.735,83.66,42.96359881578,0,10,Assisted_Takeoff,
1300,2023-10-20 20:36:12,-34.9105555178956,-56.1387335400095,0,0.032808399999999,42.93079041578,42.96359881578,0.328084,0,0.092751643388,0.245140099708,22,5,8.603,42.96359881578,0,0,0.104912404932,0,0,0,237.8, -5.6, 2.2,0,0,1024,1024,1684,1024,0,0,100,0,247.8,11.9,0,95,4.292,4.288,0,0,0,0,0.735,83.66,42.96359881578,0,10,Assisted_Takeoff,
1400,2023-10-20 20:36:12,-34.9105555095609,-56.1387335604007,0.328084,0.3608924,42.93079041578,43.29168281578,0.328084,0,0.097924215732,0.251956700976,22,5,8.603,43.29168281578,0.328084,0,0.104912404932,0,0,0,238.5, -5.4, 2.8,0,0,1024,1024,1684,1024,0,0,100,0,248.6,11.9,0,95,4.292,4.288,0,0,0,0,0.735,83.66,43.29168281578,0.328084,10,Assisted_Takeoff,
1500,2023-10-20 20:36:12,-34.9105555013032,-56.138733585899,0.328084,0.3608924,42.93079041578,43.29168281578,0.328084,0,0.103955383904,0.26015912906,22,5,8.603,43.29168281578,0.328084,0,0.104912404932,0,0,0,238, -8.6, 7.7,0,0,1024,1024,1684,1024,0,0,100,0,249,11.9,0,95,4.292,4.288,0,0,0,0,0.735,83.66,43.29168281578,0.328084,10,Assisted_Takeoff,
1600,2023-10-20 20:36:13,-34.9105554654213,-56.13873380013,0.656168,0.6233596,42.99640721578,43.61976681578,0.328084,0.7158208,0.153702760824,0.325578750576,22,5,8.603,43.61976681578,0.656168,0.7158208,0.153702760824,0.223694,-0.671082,0,237.9, -10.4, 11.1,0,0,1024,1024,1684,1024,0,0,100,0,249.8,11.9,0,95,4.292,4.288,0,0,0,0,0.735,83.66,43.61976681578,0.656168,10,Assisted_Takeoff,
