time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-10-21 20:46:19,-34.9543107952539,-54.935828382292,0,0,55.60776260622,55.60776260622,0.328084,0,0,0,10,4,0,55.60776260622,0,0,0,0,0,0,23.1, 4.1, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
100,2022-10-21 20:46:20,-34.9543109152416,-54.9358282681409,0,0,55.60776260622,55.60776260622,0.328084,0,0.055512797052,0.055512797052,10,4,0,55.60776260622,0,0,0.055512797052,0,0,0,23.2, 4.1, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
200,2022-10-21 20:46:20,-34.9543110341723,-54.9358281603109,0,0,55.60776260622,55.60776260622,0.328084,0,0.109566276472,0.10957349432,10,4,0,55.60776260622,0,0,0.109566276472,0,0,0,23.1, 4.1, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
300,2022-10-21 20:46:20,-34.9543111705599,-54.935828079957,0,0,55.60776260622,55.60776260622,0.328084,0,0.164083994752,0.164832354356,10,4,0,55.60776260622,0,0,0.164083994752,0,0,0,23.1, 4, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 19. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-10-21 20:46:20,-34.9543115558422,-54.9358278209007,0,0,55.60776260622,55.60776260622,0.328084,0,0.3243274382,0.32533465608,11,4,0,55.60776260622,0,0,0.3243274382,0,0,0,23.1, 4.1, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
500,2022-10-21 20:46:20,-34.9543116838519,-54.9358277105329,0,0,55.60776260622,55.60776260622,0.328084,0,0.38139436916,0.38252297812,11,4,0,55.60776260622,0,0,0.38139436916,0,0,0,23.1, 4, 1.4,0,0,364,364,364,1684,-100,-100,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
600,2022-10-21 20:46:20,-34.9543118056868,-54.9358276087447,0,0,55.60776260622,55.60776260622,0.328084,0,0.43521654936,0.43639765176,11,4,0,55.60776260622,0,0,0.43521654936,0,0,0,23.1, 4, 1.4,0,0,364,405,364,1684,-100,-94,-100,100,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
700,2022-10-21 20:46:20,-34.9543119220355,-54.9358275436582,0,0,55.60776260622,55.60776260622,0.328084,0,0.48155841436,0.48309712832,11,4,0,55.60776260622,0,0,0.48155841436,0,0,0,23.1, 4, 1.4,0,0,951,1024,806,1353,-11,0,-33,50,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
800,2022-10-21 20:46:20,-34.9543121179045,-54.9358274248179,0,0.032808400000005,55.57495420622,55.60776260622,0.328084,0,0.56111550352,0.56290684216,11,4,0,55.60776260622,0,0,0.56111550352,0,0,0,23.1, 4, 1.4,0,0,951,1024,806,1353,-11,0,-33,50,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
900,2022-10-21 20:46:20,-34.9543121739735,-54.9358273264264,0,0.032808400000005,55.57495420622,55.60776260622,0.328084,0,0.59390749932,0.59874345748,11,4,0,55.60776260622,0,0,0.59390749932,0,0,0,23.1, 4, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,34.5,0,0,99,4.335,4.331,0,0,0,0,0,73.76,55.60776260622,0,41,Motors_Started,
