time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1200,2022-10-24 20:25:28,-34.9287077276641,-56.1628130612743,0,0,6.901433619796,6.901433619796,0.328084,0,0,0,18,5,0,6.901433619796,0,0,0,0,0,0,191.5, -6.5, 2.2,0,0,364,364,364,1684,-100,-100,-100,100,201.9,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.901433619796,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001). Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011). El motor no puede girar. Comprueba su estado (Code: 30142"
1300,2022-10-24 20:25:29,-34.9287075550478,-56.1628131922251,0,0,6.901433619796,6.901433619796,0.328084,0,0.07416666904,0.07416666904,18,5,0,6.901433619796,0,0,0.07416666904,0,0,0,192.3, -6.5, 2.5,0,0,364,364,364,1684,-100,-100,-100,100,202.4,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.901433619796,0,41,Motors_Started,
1400,2022-10-24 20:25:29,-34.9287075576547,-56.1628132354492,0,0,6.901433619796,6.901433619796,0.328084,0,0.08100558002,0.087131236384,18,5,0,6.901433619796,0,0,0.08100558002,0,0,0,192.1, -6.4, 2.8,0,0,364,364,364,1684,-100,-100,-100,100,202.7,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.901433619796,0,41,Motors_Started,
1500,2022-10-24 20:25:29,-34.9287075867382,-56.162813260115,0,0,6.901433619796,6.901433619796,0.328084,0,0.078621721676,0.100055449396,18,5,0,6.901433619796,0,0,0.08100558002,0,0,0,192.2, -6.6, 2.8,0,0,364,364,364,1684,-100,-100,-100,100,202.9,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.901433619796,0,41,Motors_Started,
1600,2022-10-24 20:25:29,-34.9287075699445,-56.1628132946649,0,0,6.901433619796,6.901433619796,0.328084,0,0.090472115756,0.112069885476,18,5,0,6.901433619796,0,0,0.090472115756,0,0,0,192.6, -6.5, 2.6,0,0,1024,1024,1024,1347,0,0,0,49,203,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.901433619796,0,41,Motors_Started,
1700,2022-10-24 20:25:29,-34.9287075744366,-56.1628133213526,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.095800199916,0.120219492036,18,5,0,6.901433619796,0,0,0.095800199916,0,0,0,192.6, -6.2, 3.2,0,0,1024,1024,1024,1347,0,0,0,49,203.3,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,
1800,2022-10-24 20:25:29,-34.928707540885,-56.1628133143944,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.101866144992,0.132636487184,18,5,0,6.901433619796,0,0,0.101866144992,0,0,0,192.8, -6.6, 2.8,0,0,1024,1024,1024,1043,0,0,0,3,203.4,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 23. Setting new Maximum Flight Altitude to 120m (394 ft)"
1900,2022-10-24 20:25:29,-34.9287075164139,-56.1628132948085,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.104021328788,0.1433152933,18,5,0,6.901433619796,0,0,0.104021328788,0,0,0,193.4, -7.5, 2.5,0,0,1024,1024,1271,1024,0,0,37,0,203.4,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,
2000,2022-10-24 20:25:29,-34.9287075291207,-56.162813309736,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.103783795972,0.149751973296,18,5,0,6.901433619796,0,0,0.104021328788,0,0,0,193.5, -8.3, 2.6,0,0,1024,1024,1684,1024,0,0,100,0,203.7,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,
2100,2022-10-24 20:25:29,-34.9287075595966,-56.1628133380636,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.103029530856,0.16373196062,18,5,0,6.901433619796,0,0,0.104021328788,0,0,0,193.9, -9.2, 2.2,0,0,1024,1024,1684,1024,0,0,100,0,204.4,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,
2200,2022-10-24 20:25:30,-34.9287075527836,-56.1628132973523,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.095172903308,0.176160766792,18,5,0,6.901433619796,0,0,0.104021328788,0,0,0,192.7, -10.1, 1.5,0,0,1024,1024,1684,1024,0,0,100,0,204,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,41,Motors_Started,
2300,2022-10-24 20:25:30,-34.9287075349843,-56.1628132381882,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.087991472632,0.195012473432,18,5,0,6.901433619796,0,0,0.104021328788,0,0,0,192.4, -9.5, 2.1,0,0,1024,1024,1640,1024,0,0,93,0,203.4,0,0,59,3.955,3.956,0,0,0,0,0,93.56,6.573349619796,-0.328084,10,Assisted_Takeoff,
2400,2022-10-24 20:25:30,-34.9287075491959,-56.1628132291431,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.082227036752,0.200860898816,18,5,7.898,6.901433619796,0,0,0.104021328788,0,0,0,193, -7.6, 1.9,0,0,1024,1024,1393,1024,0,0,56,0,203.5,0,0,59,3.943,3.943,0,0,0,0,0.82,93.56,6.573349619796,-0.328084,10,Assisted_Takeoff,
2500,2022-10-24 20:25:30,-34.9287075664767,-56.1628132276384,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.077038716376,0.20718176516,18,5,7.898,6.901433619796,0,0,0.104021328788,0,0,0,192.6, -4.9, 2,0,0,1024,1024,1577,1024,0,0,84,0,203.4,0,0,59,3.943,3.943,0,0,0,0,0.82,93.56,6.573349619796,-0.328084,10,Assisted_Takeoff,
2600,2022-10-24 20:25:30,-34.928707545032,-56.1628131744294,-0.328084,-0.328084,6.901433619796,6.573349619796,0.328084,0,0.074737207116,0.224917330032,18,5,7.898,6.901433619796,0,0,0.104021328788,0,0,0,193, -4.8, 0.9,0,0,1024,1024,1577,1024,0,0,84,0,203.4,0,0,59,3.943,3.943,0,0,0,0,0.82,93.56,6.573349619796,-0.328084,10,Assisted_Takeoff,
