time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-10-29 00:13:26,-34.9065153291587,-56.1631027682165,0,0,120.19131519783,120.19131519783,0,0,0,0,17,5,0,120.19131519783,0,0,0,0,0,0,295.1, -8.1, 4.6,0,0,364,364,364,1684,-100,-100,-100,100,305.8,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,"Error de calibración del estabilizador. Reinicia la aeronave o contacta con la Asistencia DJI (Code: 40011)"
100,2022-10-29 00:13:26,-34.9065153691142,-56.1631027971113,0,0,120.19131519783,120.19131519783,0,0,0.0169486225896,0.0169486225896,17,5,0,120.19131519783,0,0,0.0169486225896,0,0,0,294.4, -7.9, 5,0,0,364,364,364,1684,-100,-100,-100,100,305.7,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
200,2022-10-29 00:13:26,-34.9065153962637,-56.1631028248465,0,0,120.19131519783,120.19131519783,0,0,0.0297746728688,0.029870899906,17,5,0,120.19131519783,0,0,0.0297746728688,0,0,0,294.7, -8.2, 4.5,0,0,364,364,364,1684,-100,-100,-100,100,305.5,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
300,2022-10-29 00:13:26,-34.9065153919124,-56.1631028445067,0,0,120.19131519783,120.19131519783,0.328084,0,0.0323306112708,0.035963911912,17,5,0,120.19131519783,0,0,0.0323306112708,0,0,0,295, -8.5, 3.7,0,0,364,364,364,1684,-100,-100,-100,100,305.4,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 67. Setting new Maximum Flight Altitude to 120m (394 ft)"
400,2022-10-29 00:13:26,-34.9065153762142,-56.163102810958,0,0,120.19131519783,120.19131519783,0.328084,0,0.0214078418924,0.047520998896,17,5,0,120.19131519783,0,0,0.0323306112708,0,0,0,296.5, -6.9, 4.1,0,0,364,420,364,1611,-100,-92,-100,89,305.9,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
500,2022-10-29 00:13:26,-34.9065152852754,-56.1631027402148,0,0,120.19131519783,120.19131519783,0.328084,0,0.0180704730192,0.0868766432,17,5,0,120.19131519783,0,0,0.0323306112708,0,0,0,297.4, -5.6, 4.3,0,0,1024,1024,816,1024,0,0,-32,0,307,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
600,2022-10-29 00:13:26,-34.9065152242739,-56.1631027051775,0,0,120.19131519783,120.19131519783,0.328084,0,0.042663059108,0.111478678108,17,5,0,120.19131519783,0,0,0.042663059108,0,0,0,297.4, -6.2, 2.9,0,0,1024,1024,1024,890,0,0,0,-20,307.6,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
700,2022-10-29 00:13:26,-34.9065151537948,-56.1631026785548,0,0,120.19131519783,120.19131519783,0.328084,0,0.06937828306,0.138398298392,17,5,0,120.19131519783,0,0,0.06937828306,0,0,0,297.3, -7.5, 1.5,0,0,1024,1024,1149,707,0,0,19,-48,307.6,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,
800,2022-10-29 00:13:26,-34.9065150920508,-56.1631026600072,0,0,120.19131519783,120.19131519783,0.328084,0,0.092369097444,0.161599086536,17,5,0,120.19131519783,0,0,0.092369097444,0,0,0,296.8, -7.3, 1.2,0,0,1024,1024,1348,704,0,0,49,-48,307.5,0,0,98,4.316,4.313,0,0,0,0,0,82.94,120.19131519783,0,41,Motors_Started,"Aeronave en Zona de altitud restringida (150). Vuela con precaución (Code: 190001)"
900,2022-10-29 00:13:27,-34.9065149054962,-56.1631026745068,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.157095477468,0.22980151654,17,5,0,120.19131519783,0,0,0.157095477468,0,0,0,297.2, -7.3, -0.3,0,0,1024,1024,1336,733,0,0,47,-44,307.2,0,0,98,4.316,4.313,0,0,0,0,0,82.94,119.86323119783,-0.328084,41,Motors_Started,
1000,2022-10-29 00:13:27,-34.9065148253116,-56.1631027339365,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.18411417912,0.26403708194,17,5,0,120.19131519783,0,0,0.18411417912,0,0,0,299.2, -4.5, -0.6,0,0,1024,1024,1268,738,0,0,37,-43,308.1,0,0,98,4.316,4.313,0,0,0,0,0,82.94,119.86323119783,-0.328084,41,Motors_Started,
1100,2022-10-29 00:13:27,-34.9065147396555,-56.1631027744687,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.215087933392,0.297559392724,17,5,0,120.19131519783,0,0,0.215087933392,0,0,0,301.1, -2.2, -0.4,0,0,1024,1024,1233,753,0,0,32,-41,310.2,0,0,98,4.316,4.313,0,0,0,0,0,82.94,119.86323119783,-0.328084,10,Assisted_Takeoff,
1200,2022-10-29 00:13:27,-34.9065146553347,-56.1631027825438,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.245881569548,0.32841864568,17,5,8.675,120.19131519783,0,0,0.245881569548,0,0,0,300.2, -2.4, -1,0,0,1024,1024,1233,753,0,0,32,-41,310.8,0,0,98,4.316,4.313,0,0,0,0,0.574,82.94,119.86323119783,-0.328084,10,Assisted_Takeoff,
1300,2022-10-29 00:13:27,-34.9065146184406,-56.1631028153455,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.25968832852,0.3450787512,17,5,8.675,120.19131519783,0,0,0.25968832852,0,0,0,299.1, -2.6, -0.8,0,0,1024,1024,1237,753,0,0,32,-41,309.9,0,0,98,4.316,4.313,0,0,0,0,0.574,82.94,119.86323119783,-0.328084,10,Assisted_Takeoff,
1400,2022-10-29 00:13:27,-34.9065145765505,-56.1631028068944,-0.328084,-0.328084,120.19131519783,119.86323119783,0.328084,0,0.274832357876,0.36056759684,17,5,8.675,120.19131519783,0,0,0.274832357876,0,0,0,298.5, -1.6, -0.4,0,0,1024,1024,1203,761,0,0,27,-40,309.2,0,0,98,4.316,4.313,0,0,0,0,0.574,82.94,119.86323119783,-0.328084,10,Assisted_Takeoff,
