time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-03 17:59:38,-34.8683564369511,-55.2614396031495,0,0,174.93761681848,174.93761681848,0.328084,0,0,0,11,4,0,174.93761681848,0,0,0,0,0,0,75.4, -0.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,87.4,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.93761681848,0,6,P-GPS,"En vuelo"
100,2022-09-03 17:59:38,-34.8683564370431,-55.2614394586542,0,-0.032808399999993,174.97042521848,174.93761681848,0.328084,0,0.043254266476,0.043254266476,11,4,0,174.93761681848,0,0,0.043254266476,0,0,0,74.8, -0.9, -0.4,0,0,364,364,364,1684,-100,-100,-100,100,87.1,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.93761681848,0,41,Motors_Started,
200,2022-09-03 17:59:38,-34.868356469615,-55.2614391723419,0,-0.032808399999993,174.97042521848,174.93761681848,0.328084,0,0.129510502832,0.129781172132,11,4,0,174.93761681848,0,0,0.129510502832,0,0,0.223694,74.1, -1, -1.4,0,0,364,364,364,1684,-100,-100,-100,100,86.1,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.93761681848,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 120m (394 ft)"
300,2022-09-03 17:59:38,-34.8683563960185,-55.2614389663355,0,-0.032808399999993,174.97042521848,174.93761681848,0.328084,0,0.191212604544,0.19704068872,11,4,0,174.93761681848,0,0,0.191212604544,0,0,0.447388,73.9, -1.3, -1,0,0,364,364,364,1684,-100,-100,-100,100,85.7,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.93761681848,0,41,Motors_Started,
400,2022-09-03 17:59:38,-34.8683563001931,-55.2614387151224,-0.328084,-0.36089239999999,174.97042521848,174.60953281848,0.328084,0,0.270470481096,0.279970809484,13,4,0,174.93761681848,0,0,0.270470481096,0,0,0.223694,74.4, -1.9, -2,0,0,364,364,364,1684,-100,-100,-100,100,85.3,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.60953281848,-0.328084,41,Motors_Started,
500,2022-09-03 17:59:38,-34.8683561663607,-55.2614383330455,-0.328084,-0.36089239999999,174.97042521848,174.60953281848,0.328084,0,0.39281169236,0.4043307216,13,4,0,174.93761681848,0,0,0.39281169236,0,0,0.447388,75, -1.4, -4.2,0,0,364,364,364,1684,-100,-100,-100,100,86.2,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.60953281848,-0.328084,41,Motors_Started,
600,2022-09-03 17:59:38,-34.8683557944607,-55.2614377272376,-0.328084,-0.36089239999999,174.97042521848,174.60953281848,0.328084,0,0.60851051816,0.63082023016,13,4,0,174.93761681848,0,0,0.60851051816,0,0,0.671082,73, -0.9, -3.7,0,0,364,364,364,1684,-100,-100,-100,100,85.6,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.60953281848,-0.328084,41,Motors_Started,
700,2022-09-03 17:59:38,-34.86835560286,-55.26143713243,-0.656168,-0.68897639999999,174.97042521848,174.28144881848,0,0,0.79976380512,0.82210632552,13,4,0,174.93761681848,0,0,0.79976380512,0,0,1.11847,70.8, -1.3, -4,0,0,364,364,364,1684,-100,-100,-100,100,83.4,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.28144881848,-0.656168,41,Motors_Started,
800,2022-09-03 17:59:39,-34.8683553824118,-55.2614364888916,-0.656168,-0.72178480000001,175.00323361848,174.28144881848,0,0,1.00852037348,1.03086289388,14,4,0,174.93761681848,0,0,1.00852037348,0,0,1.11847,68.2, -2.2, -2.4,0,0,364,364,364,1684,-100,-100,-100,100,80.8,0,0,95,4.276,4.271,0,0,0,0,0,71.42,174.28144881848,-0.656168,41,Motors_Started,
900,2022-09-03 17:59:39,-34.8683552778303,-55.2614357388651,-0.984252,-1.0498688,175.00323361848,173.95336481848,0,0.223694,1.2316437402,1.25860240248,14,4,8.556,174.93761681848,0,0.223694,1.2316437402,0,0.223694,0.671082,67.8, -3.5, -0.9,0,0,364,364,364,1684,-100,-100,-100,100,79.4,0,0,95,4.276,4.271,0,0,0,0,0.751,71.42,173.95336481848,-0.984252,41,Motors_Started,
