time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-03 13:49:20,-34.8753792932949,-55.267186320544,0,0,172.49364462741,172.49364462741,0.328084,0,0,0,10,4,0,172.49364462741,0,0,0,0,0,0,289.3, 1.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,6,P-GPS,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 45. Setting new Maximum Flight Altitude to 120m (394 ft)"
100,2022-09-03 13:49:20,-34.8753792882745,-55.267186451138,0,0,172.49364462741,172.49364462741,0.328084,0,0.039132547184,0.039132547184,10,4,0,172.49364462741,0,0,0.039132547184,0,0,0,289.3, 1.6, -1,0,0,364,364,364,1684,-100,-100,-100,100,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,"En vuelo"
200,2022-09-03 13:49:20,-34.8753792631069,-55.267186606944,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.08643044896,0.086664044768,10,4,0,172.49364462741,0,0,0.08643044896,0,0,0,289.3, 1.6, -1.1,0,0,692,728,710,1146,-50,-45,-48,18,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
300,2022-09-03 13:49:21,-34.875379261914,-55.2671867382815,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.12556102764,0.125978678572,10,4,0,172.49364462741,0,0,0.12556102764,0,0,0,289.3, 1.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
400,2022-09-03 13:49:21,-34.8753792611625,-55.2671868795261,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.167725727152,0.168256895148,10,4,0,172.49364462741,0,0,0.167725727152,0,0,0,289.3, 1.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
500,2022-09-03 13:49:21,-34.8753792614353,-55.267187021693,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.210190623524,0.210810702284,10,4,0,172.49364462741,0,0,0.210190623524,0,0,0,289.3, 1.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
600,2022-09-03 13:49:21,-34.8753792619653,-55.267187172576,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.255287737828,0.255973761472,10,4,0,172.49364462741,0,0,0.255287737828,0,0,0,289.3, 1.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
700,2022-09-03 13:49:21,-34.8753792652743,-55.2671872963852,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.292269038224,0.293052174732,10,4,0,172.49364462741,0,0,0.292269038224,0,0,0,289.3, 1.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
800,2022-09-03 13:49:21,-34.8753792662042,-55.2671874485141,0,0.032808399999993,172.46083622741,172.49364462741,0.328084,0,0.33776903968,0.33858924968,10,4,0,172.49364462741,0,0,0.33776903968,0,0,0,289.3, 1.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
900,2022-09-03 13:49:21,-34.8753792232092,-55.2671875509705,0,0.065616799999987,172.42802782741,172.49364462741,0.328084,0,0.36917980184,0.37303478884,10,4,0,172.49364462741,0,0,0.36917980184,0,0,0,289.3, 1.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,95,4.262,4.259,0,0,0,0,0,68.72,172.49364462741,0,41,Motors_Started,
