time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-06 17:02:39,-34.9109952058917,-55.0429758159201,0,0,34.974367260912,34.974367260912,0,0,0,0,14,4,0,34.974367260912,0,0,0,0,0,0,88.2, -9.6, 3,0,0,364,364,364,1684,-100,-100,-100,100,100.3,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,"En vuelo"
100,2022-09-06 17:02:40,-34.9109954562909,-55.0429757484525,0,0,34.974367260912,34.974367260912,0,0,0.0935613547,0.0935613547,14,4,0,34.974367260912,0,0,0.0935613547,0,0,0,90.6, -9.1, 2.2,0,0,364,364,364,1684,-100,-100,-100,100,101.4,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
200,2022-09-06 17:02:40,-34.9109956374805,-55.0429759054511,0,0.032808400000005,34.941558860912,34.974367260912,0,0,0.159727039232,0.174657485904,14,4,0,34.974367260912,0,0,0.159727039232,0,0,0,90.3, -8.5, 1.7,0,0,364,364,364,1684,-100,-100,-100,100,102.2,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
300,2022-09-06 17:02:40,-34.910995855152,-55.0429761411855,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.256093184048,0.280872056232,14,4,0,34.974367260912,0,0,0.256093184048,0,0,0,91.1, -7.7, 2.4,0,0,364,364,364,1684,-100,-100,-100,100,102.5,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
400,2022-09-06 17:02:40,-34.9109960000554,-55.0429763040083,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.324469498572,0.35276247848,14,4,0,34.974367260912,0,0,0.324469498572,0,0,0,91.3, -6.8, 2.7,0,0,364,364,364,1684,-100,-100,-100,100,102.9,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
500,2022-09-06 17:02:40,-34.9109962045208,-55.0429769617679,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.50028216824,0.5632218028,14,4,0,34.974367260912,0,0,0.50028216824,0,0,0,92.1, -6.9, 1.7,0,0,1024,1024,364,1684,0,0,-100,100,103.4,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
600,2022-09-06 17:02:40,-34.910996291621,-55.0429770524121,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.54201445304,0.60500001936,14,4,0,34.974367260912,0,0,0.54201445304,0,0,0,91.9, -5.3, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,103.8,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
700,2022-09-06 17:02:40,-34.9109963883137,-55.0429770922806,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.57614175072,0.6422408342,14,4,0,34.974367260912,0,0,0.57614175072,0,0,0,91.7, -5.5, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,103.7,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
800,2022-09-06 17:02:40,-34.9109964818403,-55.0429770823219,0,0.032808400000005,34.941558860912,34.974367260912,0.328084,0,0.60023295884,0.6764928038,14,4,0,34.974367260912,0,0,0.60023295884,0,0,0,92, -5.4, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,103.6,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 59. Setting new Maximum Flight Altitude to 120m (394 ft)"
900,2022-09-06 17:02:40,-34.9109966976483,-55.0429768207735,0,0.065616800000004,34.908750460912,34.974367260912,0.328084,0,0.62178151596,0.78750330604,14,4,0,34.974367260912,0,0,0.62178151596,0,0,0,91.7, -5.1, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,103.6,0,0,100,4.336,4.334,0,0,0,0,0,78.8,34.974367260912,0,41,Motors_Started,
