time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-09-06 22:02:02,-34.8957140637046,-55.0385033402899,0,0,160.02444016015,160.02444016015,0.328084,0,0,0,21,5,0,160.02444016015,0,0,0,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,"En vuelo"
100,2022-09-06 22:02:02,-34.8957141428473,-55.0385035039823,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.05686187846,0.05686187846,21,5,0,160.02444016015,0,0,0.05686187846,0,0,0,290.4, 6.1, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
200,2022-09-06 22:02:02,-34.8957141441021,-55.0385035423554,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.067206695064,0.068354004812,21,5,0,160.02444016015,0,0,0.067206695064,0,0,0,290.4, 6.1, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
300,2022-09-06 22:02:02,-34.895714146298,-55.0385035095371,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.05893372892,0.078207351584,21,5,0,160.02444016015,0,0,0.067206695064,0,0,0,290.4, 6, -0.8,0,0,364,364,364,1684,-100,-100,-100,100,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
400,2022-09-06 22:02:02,-34.8957141424581,-55.0385034857983,0,0,160.02444016015,160.02444016015,0.328084,0,0.052168964924,0.08544783738,21,5,0,160.02444016015,0,0,0.067206695064,0,0,0,290.4, 6.1, -0.7,0,0,364,364,364,1684,-100,-100,-100,100,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
500,2022-09-06 22:02:02,-34.895714082888,-55.0385035507039,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.063353676568,0.114596132276,21,5,0,160.02444016015,0,0,0.067206695064,0,0,0,290.4, 6.1, -0.8,0,0,386,364,364,1684,-97,-100,-100,100,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
600,2022-09-06 22:02:03,-34.8957140384743,-55.0385035863689,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.074211616548,0.13399934812,21,5,0,160.02444016015,0,0,0.074211616548,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
700,2022-09-06 22:02:03,-34.8957140229992,-55.0385035983057,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.078625986768,0.14068077878,21,5,0,160.02444016015,0,0,0.078625986768,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
800,2022-09-06 22:02:03,-34.8957140090532,-55.0385036081612,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.082602692932,0.14656168448,21,5,0,160.02444016015,0,0,0.082602692932,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1362,1024,0,0,51,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
900,2022-09-06 22:02:03,-34.8957140521906,-55.0385036113009,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.081208007848,0.162328417268,21,5,0,160.02444016015,0,0,0.082602692932,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,"Setting new Return-To-Home altitude to 60m (197 ft). Data Recorder File Index is 62. Setting new Maximum Flight Altitude to 120m (394 ft)"
1000,2022-09-06 22:02:03,-34.8957140484737,-55.0385036150946,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.082422246732,0.164097118112,21,5,0,160.02444016015,0,0,0.082602692932,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,41,Motors_Started,
1100,2022-09-06 22:02:03,-34.8957140471938,-55.0385036617528,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.096385501772,0.178067262916,21,5,0,160.02444016015,0,0,0.096385501772,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,10,Assisted_Takeoff,
1200,2022-09-06 22:02:03,-34.895714046774,-55.0385037027838,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.108651250196,0.190346462784,21,5,0,160.02444016015,0,0,0.108651250196,0,0,0,290.4, 6.1, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,0,72.68,160.02444016015,0,10,Assisted_Takeoff,
1300,2022-09-06 22:02:03,-34.8957141186185,-55.0385037591023,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.126919951568,0.221509521524,21,5,8.285,160.02444016015,0,0,0.126919951568,0,0,0,290.2, 6.1, -0.8,0,0,1024,1024,1452,1024,0,0,65,0,294.4,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,10,Assisted_Takeoff,
1400,2022-09-06 22:02:03,-34.8957141273617,-55.0385037543927,-0.328084,-0.29527560000001,159.99163176015,159.69635616015,0.328084,0,0.126076775688,0.22499672636,21,5,8.285,160.02444016015,0,0,0.126919951568,0,0,0,289.9, 6, -0.9,0,0,1024,1024,1401,1024,0,0,57,0,294.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,159.69635616015,-0.328084,10,Assisted_Takeoff,
1500,2022-09-06 22:02:04,-34.8957141479615,-55.0385037172277,-0.328084,-0.29527560000001,159.99163176015,159.69635616015,0.328084,0,0.116911749148,0.238419627052,21,5,8.285,160.02444016015,0,0,0.126919951568,0,0,0,289.5, 5.1, -0.8,0,0,1024,1024,1510,1024,0,0,74,0,294,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,159.69635616015,-0.328084,10,Assisted_Takeoff,
1600,2022-09-06 22:02:04,-34.8957141781072,-55.0385036728404,-0.328084,-0.29527560000001,159.99163176015,159.69635616015,0.328084,0,0.107914045448,0.255665034428,21,5,8.285,160.02444016015,0,0,0.126919951568,0,0,0,289.3, 0.1, -0.7,0,0,1024,1024,1464,1024,0,0,67,0,293.6,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,159.69635616015,-0.328084,10,Assisted_Takeoff,
1700,2022-09-06 22:02:04,-34.8957141864217,-55.03850368138,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.111458664984,0.259631569988,21,5,8.285,160.02444016015,0,0,0.126919951568,0,0,-0.223694,289.1, -2.2, -0.3,0,0,1024,1024,1323,1024,0,0,45,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,10,Assisted_Takeoff,
1800,2022-09-06 22:02:04,-34.8957141461763,-55.0385037573188,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.1283710671,0.286687017048,21,5,8.285,160.02444016015,0,0,0.1283710671,0,0,-0.447388,289.3, -1, 0.8,0,0,1024,1024,1286,1024,0,0,40,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,6,P-GPS,
1900,2022-09-06 22:02:04,-34.8957141983883,-55.0385038679194,0,0.032808399999993,159.99163176015,160.02444016015,0.328084,0,0.165361553848,0.324874682312,21,5,8.285,160.02444016015,0,0,0.165361553848,0,0,-0.671082,289.5, -0.3, 0.5,0,0,1024,1024,1286,1024,0,0,40,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,6,P-GPS,
2000,2022-09-06 22:02:04,-34.8957142517337,-55.0385039882308,0,0.032808399999993,159.99163176015,160.02444016015,0.656168,0,0.205673234928,0.36580053664,21,5,8.285,160.02444016015,0,0,0.205673234928,0,0,-0.894776,289.6, 0.4, 0.9,0,0,1024,1024,1275,1024,0,0,38,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,6,P-GPS,
2100,2022-09-06 22:02:04,-34.8957143564658,-55.03850406039,0,0.032808399999993,159.99163176015,160.02444016015,0.656168,0,0.24050853788,0.40969161416,21,5,8.285,160.02444016015,0,0,0.24050853788,0,0,-1.11847,289.7, 1.1, 1.9,0,0,1024,1024,1284,1024,0,0,39,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,6,P-GPS,
2200,2022-09-06 22:02:04,-34.8957145464869,-55.0385041395414,0,0.065616799999987,159.95882336015,160.02444016015,0.984252,0,0.297036098744,0.4829560522,22,5,8.285,160.02444016015,0,0,0.297036098744,0,0,-1.11847,289.4, 1.1, 1.6,0,0,1024,1024,1222,1024,0,0,30,0,293.3,-9.6,0,81,4.139,4.137,0,0,0,0,1.167,72.68,160.02444016015,0,6,P-GPS,
